,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.46,0.92,0.02,0.77,0.83,1.0,0.37,0.96,0.75,0.92,0.46,0.49,0.73,0.69,0.23,0.15
biodwh.csv,0.11,0.08,0.1,0.02,0.07,0.0,0.06,0.08,0.05,0.08,0.39,0.23,0.22,0.12,0.0,0.1
blue-c.csv,0.31,0.41,0.66,0.43,0.41,0.0,0.37,0.14,0.2,0.67,0.42,0.58,0.43,0.41,0.52,0.15
cities3d.csv,0.89,0.52,0.71,0.59,0.0,0.0,0.52,0.11,0.36,0.72,0.33,0.37,0.5,0.25,0.21,0.73
firebird.csv,0.26,0.02,0.43,0.34,0.28,0.16,0.56,0.25,0.56,0.35,0.77,0.67,0.47,0.39,0.59,0.12
jcache.csv,0.26,0.16,0.25,0.05,0.55,0.04,0.33,0.22,0.38,0.67,0.28,0.21,0.33,0.37,0.27,0.0
jparsec.csv,0.23,0.87,0.32,0.23,0.8,0.88,0.59,0.67,0.59,0.24,0.03,0.7,0.67,0.76,0.72,0.2
mscore.csv,0.51,0.39,0.57,0.23,0.41,0.2,0.59,0.02,0.35,0.84,0.74,0.63,0.46,0.59,0.68,0.2
nabu-library.csv,0.6,0.55,0.73,0.5,0.61,0.36,0.69,0.62,0.62,0.0,0.65,0.79,0.66,0.56,0.59,0.29
ns-3-dev-def-routing.csv,0.6,0.46,0.27,0.2,0.14,0.0,0.15,0.11,0.3,0.7,0.17,0.4,0.0,0.17,0.38,0.1
open-ms.csv,0.97,0.75,0.78,0.7,0.36,0.88,0.7,0.62,0.84,0.87,0.93,0.23,0.11,0.0,0.8,0.85
popeye-chess.csv,0.29,0.27,0.3,0.02,0.31,0.16,0.39,0.25,0.21,0.1,0.49,0.47,0.46,0.34,0.27,0.12
qgo.csv,0.0,0.51,0.26,0.16,0.65,0.28,0.17,0.38,0.46,0.06,0.25,0.33,0.43,0.41,0.14,0.02
webdriver.csv,0.57,0.39,0.37,0.57,0.38,0.04,0.0,0.12,0.14,0.09,0.29,0.49,0.34,0.18,0.2,0.66
xined.csv,0.51,0.2,0.43,0.14,0.3,0.16,0.19,0.14,0.15,0.62,0.33,0.0,0.16,0.21,0.49,0.05
yafdotnet.csv,0.34,0.78,0.45,0.2,0.66,0.92,0.41,0.29,0.01,0.17,0.17,0.3,0.46,0.43,0.45,0.15
