,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.77,0.58,0.95,0.53,0.13,0.67,0.56,0.67,0.53,0.62,0.55,0.37,0.42,0.35,0.4,0.67
biodwh.csv,0.3,0.28,0.35,0.43,0.37,0.18,0.29,0.38,0.33,0.16,0.33,0.18,0.44,0.32,1.0,0.48
blue-c.csv,0.54,0.61,0.49,0.71,0.28,0.97,0.65,0.6,0.49,0.3,0.43,0.41,0.56,0.32,0.28,0.64
cities3d.csv,0.6,0.51,0.4,0.44,0.94,0.42,0.45,0.31,0.18,0.12,0.3,0.27,0.5,0.21,0.07,0.27
firebird.csv,0.61,0.96,0.53,0.61,0.27,0.58,0.62,0.54,0.53,0.47,0.58,0.3,0.56,0.34,0.29,0.53
jcache.csv,0.66,0.39,0.38,0.28,0.1,0.0,0.5,0.37,0.5,0.08,0.4,0.35,0.38,0.22,0.37,0.97
jparsec.csv,0.38,0.64,0.48,0.66,0.17,0.68,0.48,0.7,0.6,0.52,0.97,0.3,0.52,0.33,0.3,0.67
mscore.csv,0.63,0.61,0.51,0.66,0.25,0.68,0.62,0.98,0.48,0.38,0.51,0.36,0.6,0.28,0.21,0.6
nabu-library.csv,0.69,0.57,0.48,0.63,0.16,0.63,0.47,0.65,0.47,1.0,0.49,0.2,0.56,0.33,0.31,0.74
ns-3-dev-def-routing.csv,0.45,0.62,0.42,0.53,0.34,0.54,0.51,0.42,0.36,0.26,0.44,0.26,0.96,0.27,0.23,0.31
open-ms.csv,0.61,0.65,0.46,0.53,0.11,0.27,0.54,0.51,0.51,0.56,0.55,0.18,0.29,0.96,0.25,0.55
popeye-chess.csv,0.57,0.55,0.5,0.96,0.26,0.72,0.58,0.59,0.45,0.45,0.4,0.38,0.58,0.35,0.23,0.56
qgo.csv,1.0,0.61,0.52,0.69,0.17,0.6,0.46,0.7,0.59,0.25,0.51,0.34,0.5,0.34,0.37,0.51
webdriver.csv,0.53,0.58,0.47,0.62,0.24,0.65,0.98,0.51,0.42,0.29,0.29,0.28,0.51,0.36,0.32,0.23
xined.csv,0.29,0.38,0.39,0.39,0.22,0.49,0.23,0.47,0.38,0.59,0.26,1.0,0.41,0.3,0.16,0.11
yafdotnet.csv,0.73,0.62,0.5,0.67,0.18,0.53,0.6,0.65,0.98,0.44,0.44,0.41,0.51,0.41,0.34,0.69
