,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.46,0.96,0.06,0.82,0.88,1.0,0.58,0.98,0.8,0.94,0.58,0.57,0.85,0.72,0.47,0.44
biodwh.csv,0.81,0.83,0.75,0.71,0.6,0.9,0.82,0.76,0.79,0.91,0.79,0.83,0.66,0.73,0.0,0.65
blue-c.csv,0.59,0.57,0.72,0.45,0.43,0.07,0.48,0.55,0.62,0.98,0.7,0.59,0.56,0.65,0.62,0.46
cities3d.csv,0.9,0.71,0.83,0.78,0.11,0.73,0.74,0.81,0.93,1.14,0.81,0.71,0.64,0.8,0.94,1.02
firebird.csv,0.5,0.06,0.57,0.5,0.47,0.56,0.61,0.62,0.66,0.69,0.78,0.74,0.58,0.63,0.64,0.6
jcache.csv,0.45,0.74,0.71,0.83,0.85,1.0,0.63,0.77,0.62,1.14,0.7,0.64,0.73,0.79,0.5,0.06
jparsec.csv,0.74,0.89,0.6,0.44,0.81,0.89,0.75,0.7,0.63,0.61,0.04,0.76,0.73,0.79,0.72,0.43
mscore.csv,0.58,0.57,0.65,0.44,0.46,0.45,0.63,0.03,0.63,1.02,0.79,0.66,0.53,0.75,0.79,0.51
nabu-library.csv,0.61,0.68,0.78,0.56,0.7,0.54,0.82,0.7,0.75,0.0,0.74,0.94,0.69,0.67,0.61,0.36
ns-3-dev-def-routing.csv,0.78,0.59,0.67,0.58,0.51,0.63,0.62,0.72,0.75,1.03,0.67,0.72,0.07,0.76,0.7,0.8
open-ms.csv,0.97,0.78,0.83,0.77,0.79,1.15,0.77,0.81,0.88,0.92,0.93,0.83,0.81,0.08,0.82,0.89
popeye-chess.csv,0.55,0.59,0.57,0.06,0.47,0.4,0.56,0.57,0.66,0.69,0.74,0.55,0.55,0.61,0.72,0.57
qgo.csv,0.0,0.63,0.55,0.4,0.69,0.54,0.67,0.49,0.55,0.85,0.59,0.6,0.62,0.62,0.6,0.65
webdriver.csv,0.7,0.6,0.61,0.61,0.5,0.5,0.04,0.64,0.7,0.82,0.81,0.7,0.58,0.65,0.62,1.01
xined.csv,0.9,0.75,0.72,0.73,0.57,0.65,0.86,0.68,0.73,0.71,0.85,0.0,0.7,0.71,0.83,0.94
yafdotnet.csv,0.4,0.82,0.6,0.42,0.7,0.99,0.54,0.51,0.02,0.7,0.67,0.5,0.62,0.53,0.52,0.41
