,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.44,0.45,0.63,0.59,0.4,0.43,0.42,0.44,0.41,0.59,0.52,0.57,0.48,0.47,0.65,0.46
biodwh.csv,0.8,0.98,0.91,0.64,0.98,0.67,0.91,0.71,0.96,0.94,0.68,0.58,0.63,0.94,0.92,0.62
blue-c.csv,0.5,0.46,0.49,0.53,0.5,0.5,0.47,0.55,0.69,0.83,0.61,0.41,0.53,0.62,0.4,0.56
cities3d.csv,0.39,0.69,0.59,0.81,0.97,0.88,0.71,0.97,0.98,0.97,0.91,0.85,0.6,0.99,0.94,0.9
firebird.csv,0.5,0.51,0.49,0.57,0.61,0.61,0.41,0.57,0.45,0.53,0.44,0.36,0.51,0.68,0.43,0.58
jcache.csv,0.46,0.79,0.76,0.88,0.51,0.0,0.59,0.81,0.57,0.99,0.66,0.92,0.82,0.71,0.54,0.47
jparsec.csv,0.94,0.41,0.62,0.38,0.4,0.45,0.45,0.42,0.41,0.49,0.59,0.43,0.41,0.41,0.34,0.45
mscore.csv,0.38,0.38,0.48,0.62,0.57,0.39,0.37,0.46,0.57,0.67,0.44,0.4,0.42,0.47,0.35,0.5
nabu-library.csv,0.4,0.51,0.48,0.48,0.42,0.37,0.5,0.53,0.51,0.59,0.45,0.46,0.42,0.5,0.52,0.44
ns-3-dev-def-routing.csv,0.61,0.56,0.7,0.72,0.89,0.64,0.77,0.8,0.8,0.81,0.86,0.52,0.64,0.9,0.56,0.91
open-ms.csv,0.39,0.46,0.51,0.71,0.78,0.73,0.54,0.7,0.42,0.69,0.43,0.67,0.97,0.9,0.42,0.62
popeye-chess.csv,0.42,0.46,0.5,0.56,0.57,0.43,0.44,0.49,0.67,0.65,0.52,0.44,0.43,0.56,0.57,0.55
qgo.csv,0.43,0.37,0.51,0.41,0.35,0.39,0.6,0.38,0.38,0.9,0.47,0.47,0.42,0.48,0.87,0.69
webdriver.csv,0.5,0.59,0.66,0.63,0.65,0.56,0.53,0.68,0.85,0.88,0.77,0.46,0.5,0.81,0.74,0.91
xined.csv,0.77,0.81,0.73,0.88,0.62,0.67,0.94,0.8,0.81,0.77,0.94,0.9,0.76,0.7,0.62,0.75
yafdotnet.csv,0.36,0.42,0.44,0.42,0.39,0.52,0.43,0.45,0.53,0.58,0.54,0.53,0.49,0.49,0.41,0.44
