,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.43,0.18,0.29,0.31,0.35,0.49,0.37,0.31,1.0,0.26,0.27,0.1,0.29
badtrinity-zero.csv,0.4,0.55,0.97,0.66,0.57,0.37,0.35,0.7,0.51,0.1,0.58,0.11,0.24
betoffice.csv,0.27,0.2,0.39,0.48,0.97,0.31,0.4,0.39,0.4,0.12,0.68,0.2,0.25
exordium.csv,0.11,0.1,0.11,0.12,0.17,0.67,0.97,0.53,0.29,0.37,0.2,0.07,0.32
fltk.csv,0.51,0.27,0.54,0.99,0.18,0.5,0.46,0.77,0.41,0.29,0.6,0.3,0.3
gabel.csv,0.11,0.0,0.02,0.01,0.0,0.08,0.0,0.11,0.0,1.0,0.05,0.06,0.0
genoviz.csv,0.0,0.0,0.02,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06,1.0
irrlicht.csv,0.45,0.34,0.62,0.56,0.04,0.43,0.44,0.89,0.37,0.15,1.0,0.17,0.31
nug.csv,0.94,0.36,0.24,0.3,0.27,0.24,0.5,0.67,0.27,0.24,0.53,0.14,0.4
rezilla.csv,0.3,0.92,0.61,0.59,0.48,0.39,0.34,0.72,0.22,0.07,0.51,0.1,0.1
toped.csv,0.36,0.53,0.58,0.61,0.21,0.39,0.32,1.0,0.3,0.17,0.78,0.17,0.22
xmemcached.csv,0.11,0.23,0.14,0.4,0.15,0.88,0.48,0.42,0.32,0.29,0.34,0.33,0.35
zoolib.csv,0.0,0.1,0.04,0.27,0.0,0.15,0.22,0.35,0.22,0.15,0.47,0.85,0.29
