,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.55,0.67,0.6,0.64,0.5,0.43,0.62,0.77,1.0,0.15,0.76,0.08,0.17
badtrinity-zero.csv,0.32,0.46,1.0,0.6,0.49,0.32,0.27,0.86,0.38,0.06,0.75,0.07,0.14
betoffice.csv,0.31,0.15,0.44,0.6,0.98,0.26,0.31,0.81,0.31,0.07,0.81,0.11,0.15
exordium.csv,0.5,0.5,0.42,0.75,0.38,0.64,1.0,0.9,0.38,0.26,0.83,0.08,0.2
fltk.csv,0.45,0.36,0.7,1.0,0.29,0.45,0.34,0.94,0.33,0.18,0.8,0.23,0.18
gabel.csv,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.25,0.0
genoviz.csv,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0
irrlicht.csv,0.31,0.29,0.5,0.58,0.17,0.47,0.3,0.85,0.54,0.11,0.99,0.09,0.19
nug.csv,1.0,0.56,0.43,0.7,0.57,0.4,0.53,0.88,0.42,0.16,0.79,0.09,0.27
rezilla.csv,0.24,0.9,0.56,0.57,0.43,0.28,0.26,0.84,0.17,0.04,0.74,0.06,0.06
toped.csv,0.26,0.39,0.51,0.58,0.46,0.32,0.22,1.0,0.32,0.11,0.77,0.1,0.14
xmemcached.csv,0.5,0.43,0.67,0.78,0.5,1.0,0.57,0.88,0.37,0.2,0.79,0.25,0.25
zoolib.csv,0.0,0.5,0.17,0.7,0.0,0.67,0.38,0.92,0.25,0.2,0.74,1.0,0.5
