,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.35,0.11,0.19,0.2,0.27,0.57,0.26,0.2,1.0,0.75,0.17,0.16,1.0
badtrinity-zero.csv,0.53,0.68,0.94,0.74,0.67,0.43,0.47,0.59,0.76,0.25,0.47,0.26,0.8
betoffice.csv,0.24,0.32,0.35,0.41,0.96,0.39,0.58,0.25,0.56,0.5,0.58,0.65,0.8
exordium.csv,0.06,0.05,0.06,0.07,0.11,0.7,0.95,0.37,0.24,0.62,0.12,0.06,0.8
fltk.csv,0.59,0.21,0.44,0.98,0.13,0.57,0.68,0.65,0.52,0.88,0.48,0.45,0.8
gabel.csv,0.06,0.0,0.01,0.01,0.0,0.04,0.0,0.06,0.0,1.0,0.02,0.03,0.0
genoviz.csv,0.0,0.0,0.01,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,1.0
irrlicht.csv,0.82,0.42,0.81,0.54,0.02,0.39,0.84,0.92,0.28,0.25,1.0,0.87,0.8
nug.csv,0.88,0.26,0.16,0.19,0.18,0.17,0.47,0.55,0.2,0.5,0.4,0.32,0.8
rezilla.csv,0.41,0.95,0.68,0.62,0.53,0.65,0.47,0.63,0.32,0.25,0.39,0.32,0.4
toped.csv,0.59,0.79,0.67,0.65,0.13,0.48,0.63,1.0,0.28,0.38,0.78,0.77,0.6
xmemcached.csv,0.06,0.16,0.08,0.27,0.09,0.78,0.42,0.27,0.28,0.5,0.22,0.45,0.6
zoolib.csv,0.0,0.05,0.03,0.17,0.0,0.09,0.16,0.22,0.2,0.12,0.35,0.74,0.2
