,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.33,0.61,0.61,0.91,0.67,0.75,0.66,0.83,0.6,0.81,0.62,0.86,0.84,0.94,0.88,0.92,0.86,0.92,0.71
delphilhlplib.csv,0.31,0.64,0.38,0.68,0.44,0.46,0.45,0.47,0.45,0.51,0.73,0.56,0.73,0.62,0.43,0.65,0.4,0.86,0.36
exordium.csv,0.35,0.61,0.51,0.71,0.61,0.43,0.49,0.53,0.34,0.57,0.83,0.72,0.6,0.74,0.53,0.7,0.65,0.96,0.33
fltk.csv,0.33,0.6,0.49,0.55,0.49,0.45,0.49,0.46,0.39,0.58,0.44,0.61,0.98,0.54,0.39,0.48,0.39,0.69,0.46
genoviz.csv,0.67,0.99,0.49,0.94,0.75,0.53,0.75,0.75,0.88,0.85,0.75,0.83,0.93,0.9,0.73,0.94,0.5,0.68,0.88
gzigzag.csv,0.35,0.99,0.73,0.82,0.8,0.57,0.96,0.62,0.48,0.65,0.75,0.9,0.95,0.9,0.62,0.94,0.71,0.94,0.31
irrlicht.csv,0.33,0.0,0.38,0.42,0.41,0.39,0.36,0.34,0.32,0.52,0.43,0.38,0.49,0.43,0.37,0.41,0.38,0.49,0.32
kmess.csv,0.89,0.0,0.5,0.5,0.53,0.92,0.88,0.58,0.34,0.55,0.0,0.52,0.79,0.93,0.38,0.47,0.59,0.0,0.62
moast.csv,0.88,0.57,0.81,0.87,0.95,0.41,0.71,0.8,0.32,0.96,0.43,0.97,0.98,0.8,0.89,0.41,0.44,0.52,0.38
mptvseries.csv,0.33,0.39,0.5,0.52,0.55,0.8,0.98,0.5,0.39,0.52,0.47,0.57,0.88,0.71,0.39,0.44,0.88,0.71,0.4
nativeclient.csv,0.79,0.49,0.38,0.56,0.45,0.45,0.6,0.53,0.3,0.49,0.51,0.37,0.54,0.52,0.38,0.39,0.41,0.56,0.36
openfrag.csv,0.32,0.45,0.41,0.45,0.52,0.47,0.44,0.47,0.33,0.52,0.62,0.61,0.98,0.53,0.43,0.43,0.42,0.73,0.38
phet.csv,0.86,0.7,0.94,0.98,0.79,0.81,0.89,0.61,0.87,0.7,0.95,0.45,0.52,0.68,0.77,0.73,0.96,0.68,0.93
qdvdauthor.csv,0.92,0.48,0.78,0.51,0.57,0.62,0.52,0.46,0.41,0.64,0.43,0.56,0.81,0.49,0.44,0.48,0.58,0.54,0.71
qse.csv,0.35,0.99,0.7,0.47,0.54,0.49,0.57,0.56,0.32,0.55,0.51,0.46,0.7,0.62,0.5,0.41,0.39,0.93,0.39
sauerbraten.csv,0.34,0.44,0.64,0.42,0.49,0.45,0.39,0.35,0.32,0.46,0.43,0.37,0.48,0.43,0.38,0.44,0.4,0.49,0.35
toped.csv,0.33,0.59,0.41,0.45,0.48,0.41,0.37,0.43,0.41,0.56,0.44,0.71,0.79,0.59,0.48,0.51,0.4,0.55,0.33
truevision.csv,0.33,0.99,0.43,0.49,0.44,0.47,0.4,0.39,0.38,0.52,0.56,0.48,0.78,0.49,0.41,0.42,0.39,0.69,0.52
zoolib.csv,0.33,0.99,0.55,0.71,0.53,0.49,0.81,0.8,0.36,0.67,0.8,0.55,0.93,0.94,0.48,0.45,0.39,0.92,0.65
