,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.07,0.43,0.68,0.6,0.48,0.5,1.0,0.56,0.61,0.72,0.59
bscwweasel.csv,0.1,0.0,0.09,0.8,0.24,0.0,0.0,0.05,0.0,0.08,0.02
capcode.csv,0.05,0.07,0.05,0.2,0.0,0.75,0.1,0.36,0.04,0.22,0.11
lamp.csv,0.0,1.0,0.09,0.2,0.19,0.25,0.02,0.05,0.22,0.17,0.05
nodal.csv,0.13,0.21,0.34,0.25,0.38,0.17,0.04,0.22,0.96,0.44,0.18
pydev.csv,0.08,0.21,0.59,0.25,0.95,0.25,0.25,0.13,0.26,1.0,0.51
retromenu.csv,0.01,0.14,0.27,0.3,0.9,0.33,0.02,0.11,0.22,0.47,0.04
smbopensoft.csv,0.98,0.79,0.68,0.4,0.71,0.58,0.71,0.25,0.39,0.5,0.41
stuproa-cims.csv,0.99,1.0,0.91,0.75,1.0,0.92,0.97,0.91,1.0,0.81,0.92
thout.csv,0.01,0.29,0.91,0.3,0.43,0.33,0.38,0.49,0.43,0.25,0.15
uface.csv,0.99,0.93,0.86,0.65,1.0,0.83,0.95,0.64,0.74,0.81,1.0
