,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.87,0.83,0.6,0.9,0.17,0.94,0.62,0.6,0.48,0.31,0.59,0.43,0.62,1.0
bibedt.csv,0.78,0.75,0.57,0.48,0.17,0.44,0.35,0.9,0.32,0.69,0.08,0.0,0.45,0.43
brlcad.csv,0.73,0.5,0.47,0.29,0.06,0.56,0.64,0.5,0.65,0.46,0.57,0.71,0.5,0.57
co-ode-owl-plugins.csv,0.18,0.08,0.32,0.41,0.94,0.5,0.14,0.1,0.29,0.46,0.57,0.71,0.26,0.51
firebreath.csv,0.84,0.67,0.88,0.64,0.94,1.0,0.94,0.5,0.71,0.15,0.38,0.86,0.52,0.91
fltk.csv,0.54,0.58,0.42,0.92,0.06,0.88,0.34,0.0,0.52,0.31,0.32,0.71,0.38,0.54
glas.csv,0.68,0.83,0.58,0.54,0.72,0.56,0.6,0.6,0.61,0.54,0.97,0.14,0.64,0.74
gretl.csv,0.81,0.92,0.83,0.81,1.0,0.94,0.99,1.0,0.81,1.0,0.86,0.71,0.71,0.94
konversation.csv,0.24,1.0,0.25,0.52,0.28,0.44,0.44,0.3,0.35,0.23,0.0,0.43,0.29,0.43
micomt.csv,0.33,0.67,0.25,0.39,0.56,0.31,0.35,0.0,0.29,0.92,0.03,0.43,0.29,0.46
openxava.csv,0.36,0.67,0.28,0.48,0.22,0.88,0.4,0.2,0.45,0.15,0.32,0.57,0.26,0.31
sumatrapdf.csv,0.79,0.67,0.62,0.93,0.22,0.94,0.62,0.2,0.97,0.31,0.38,1.0,0.64,0.8
tweetsharp.csv,0.41,0.67,0.72,0.63,0.83,0.69,0.42,0.5,0.68,0.77,0.7,0.43,1.0,0.31
wxcode.csv,0.14,0.5,0.1,0.21,0.06,0.38,0.14,0.3,0.16,0.23,0.0,1.0,0.07,0.0
