,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.51,0.48,0.52,0.46,0.7,0.48,0.61,0.69,0.46,0.5,0.59,0.47,0.47,0.68
bibedt.csv,0.58,0.47,0.56,0.66,0.77,0.56,0.59,0.89,0.93,0.81,0.86,0.89,0.43,0.79
brlcad.csv,0.86,0.59,0.6,0.78,0.87,0.49,0.56,0.68,0.39,0.53,0.64,0.57,0.64,0.67
co-ode-owl-plugins.csv,1.0,0.94,0.85,0.74,0.94,0.92,0.95,0.5,0.89,0.93,0.7,0.94,0.79,0.83
firebreath.csv,0.51,0.55,0.65,0.54,0.44,0.49,0.45,0.56,0.46,0.81,0.88,0.55,0.52,0.59
fltk.csv,0.59,0.76,0.63,0.54,0.92,0.77,0.55,0.0,0.75,0.89,0.71,0.8,0.5,0.8
glas.csv,0.59,0.51,0.54,0.59,0.64,0.39,0.63,0.55,0.51,0.36,0.59,0.74,0.54,0.74
gretl.csv,0.48,0.4,0.43,0.45,0.41,0.47,0.44,0.4,0.43,0.44,0.5,0.41,0.45,0.57
konversation.csv,1.0,0.92,0.88,0.67,0.94,0.93,0.85,0.67,0.9,0.95,0.0,0.88,0.93,0.65
micomt.csv,0.83,0.7,0.78,0.71,0.53,0.92,0.53,0.67,0.91,0.92,0.86,0.91,0.77,0.62
openxava.csv,0.53,0.54,0.68,0.5,0.71,0.93,0.53,0.61,0.53,0.45,0.86,0.59,0.61,0.58
sumatrapdf.csv,0.47,0.67,0.54,0.44,0.59,0.48,0.49,0.8,0.63,0.61,0.66,0.59,0.5,0.61
tweetsharp.csv,0.75,0.54,0.53,0.6,0.49,0.64,0.71,0.77,0.41,0.64,0.56,0.77,0.48,0.96
wxcode.csv,0.74,0.91,0.89,0.69,0.67,0.88,0.95,0.8,0.8,0.88,0.0,0.86,0.67,0.67
