,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.74,0.44,0.38,0.71,0.65,0.23,0.35,0.15,0.94,0.01,0.47,0.47
gdis.csv,0.5,0.34,0.49,0.71,0.61,0.15,0.5,0.17,0.98,0.0,0.38,0.43
kml.csv,0.71,0.28,0.22,0.69,0.79,0.11,0.32,0.13,0.89,0.03,0.4,0.41
ppcboot.csv,0.54,0.33,0.21,0.69,0.54,0.12,0.35,0.13,0.81,0.02,0.42,0.41
repositorium.csv,0.67,0.0,0.01,1.0,0.21,0.24,0.1,0.14,0.82,0.03,0.41,0.27
rsyslog.csv,0.73,0.3,0.31,0.52,0.59,0.14,0.38,0.27,0.9,0.03,0.55,0.41
simplewebservices.csv,0.54,0.26,0.29,0.52,0.49,0.09,0.3,0.21,0.87,0.04,0.45,0.55
ultimairis.csv,0.64,0.28,0.28,0.59,0.59,0.36,0.68,0.14,0.88,0.0,0.31,0.41
wow-qrsk.csv,1.0,0.41,0.44,0.75,1.0,0.0,0.25,0.33,0.88,0.04,1.0,0.63
wxstudio.csv,0.5,0.26,0.08,0.47,0.43,0.14,0.23,0.1,0.77,0.0,0.68,0.6
xbg.csv,0.56,0.17,0.15,0.59,0.32,1.0,0.45,0.3,0.5,0.0,0.27,0.34
xqilla.csv,1.0,0.06,0.14,0.4,0.22,0.07,0.17,0.05,0.71,0.3,0.62,0.47
