,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.5,0.03,0.62,0.48,0.65,0.51,0.61,0.64,0.78,0.6,0.51
biopax.csv,0.92,0.75,0.73,0.64,0.5,0.73,0.89,0.77,0.1,0.97,0.87
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
kml.csv,0.57,0.56,0.54,0.44,0.03,0.39,0.53,0.76,0.54,0.63,0.51
les-indemodables.csv,0.67,0.67,0.72,0.54,0.86,0.65,0.0,0.87,0.82,0.44,0.7
metacosm.csv,0.62,0.8,0.77,0.65,0.64,0.42,0.52,0.41,0.76,0.71,0.11
moviesandbox.csv,0.04,0.65,0.71,0.59,0.67,0.67,0.35,0.36,0.49,0.48,0.68
sigil.csv,0.53,0.55,0.62,0.46,0.51,0.06,0.57,0.28,0.65,0.52,0.51
unflobtactical.csv,0.62,0.58,0.74,0.0,0.58,0.52,0.57,0.43,0.79,0.49,0.79
xtreemfs.csv,0.64,0.91,0.74,0.5,0.86,0.72,0.81,0.01,0.9,0.59,0.72
yale.csv,0.86,0.91,0.08,0.81,1.03,0.93,0.9,0.74,1.04,0.68,0.73
