,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.0,0.0,26.0,0.0,2.0,4.0,0.0,2.0,1.0,42.0,4.0
biopax.csv,1.0,0.0,54.0,0.0,1.0,3.0,0.0,4.0,0.0,67.0,4.0
crux-framework.csv,78.0,83.0,962.0,60.0,74.0,88.0,101.0,384.0,90.0,0.0,57.0
kml.csv,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,38.0,0.0
les-indemodables.csv,1.0,0.0,20.0,0.0,3.0,0.0,0.0,1.0,1.0,9.0,0.0
metacosm.csv,3.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,22.0,0.0
moviesandbox.csv,0.0,0.0,43.0,0.0,1.0,4.0,0.0,3.0,1.0,27.0,1.0
sigil.csv,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0
unflobtactical.csv,1.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,3.0
xtreemfs.csv,1.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,40.0,2.0
yale.csv,2.0,0.0,0.0,0.0,3.0,8.0,0.0,5.0,2.0,13.0,0.0
