,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.77,0.98,0.28,0.83,0.58,0.71,0.53,0.91,0.85,0.04,0.6
biopax.csv,0.57,0.55,0.17,0.64,0.69,0.65,0.39,0.86,0.97,0.03,0.48
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kml.csv,0.65,0.69,0.27,0.75,1.0,0.8,0.48,0.83,0.92,0.04,0.6
les-indemodables.csv,0.75,0.67,0.24,0.94,0.62,0.95,1.0,0.84,0.74,0.06,0.89
metacosm.csv,0.68,0.56,0.28,0.65,1.0,0.84,0.61,0.95,0.86,0.04,1.0
moviesandbox.csv,0.98,0.73,0.17,0.73,0.8,0.61,0.61,0.94,0.89,0.05,0.48
sigil.csv,0.67,0.83,0.34,0.78,0.73,0.98,0.45,0.96,0.96,0.04,0.6
unflobtactical.csv,0.62,0.83,0.21,1.0,0.94,0.84,0.47,0.96,0.78,0.05,0.6
xtreemfs.csv,0.74,0.67,0.26,0.79,1.0,0.62,0.7,1.0,0.88,0.04,0.67
yale.csv,0.42,0.47,0.99,0.51,0.31,0.41,0.23,0.83,0.71,0.06,0.45
