,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.04,0.44,0.88,0.39,0.38,0.25
bullet.csv,0.0,0.59,0.42,0.98,0.61,0.51
openintents.csv,0.43,0.93,0.57,0.34,0.11,0.35
pokenetonline.csv,0.09,0.69,0.68,0.37,0.4,0.98
tktoolkit.csv,0.05,0.31,0.39,0.41,0.89,0.15
zealos.csv,0.92,0.63,0.49,0.55,0.53,0.61
