,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.02,0.49,0.29,0.32,0.17,0.44,0.4,0.16,0.31,0.35,0.24,0.42,0.23,0.21,0.26,0.21,0.09,0.19,0.41,0.15
alpine.csv,1.0,0.11,0.47,0.51,0.68,1.0,0.28,0.83,1.0,0.22,0.67,0.16,0.43,0.76,0.26,0.98,0.28,0.76,0.5,1.0
autowikibrowser.csv,0.34,0.47,0.81,0.43,0.21,0.56,0.55,0.56,0.21,0.55,0.53,0.53,0.47,0.59,0.35,0.49,0.46,0.71,0.3,0.31
critterding.csv,0.29,0.42,0.97,0.96,0.89,0.56,0.91,0.82,1.0,0.92,0.8,0.92,0.75,0.89,0.76,0.91,0.3,0.95,0.85,0.63
firebird.csv,0.76,0.3,0.9,0.32,0.29,0.33,0.37,0.41,0.98,0.33,0.49,0.91,0.21,0.61,0.55,0.84,0.23,0.85,0.56,0.81
fmri-dmt.csv,0.71,0.63,0.29,0.89,0.86,0.67,0.42,0.71,0.31,0.55,0.79,0.71,0.71,0.69,0.71,0.63,0.67,0.21,0.89,0.97
genecys.csv,0.93,0.47,0.95,0.83,0.77,0.33,0.88,0.91,0.93,0.85,0.95,0.66,0.61,0.99,0.89,0.67,0.84,0.82,0.37,0.71
hydrogen.csv,0.15,1.0,1.0,1.0,0.18,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,0.0,1.0,1.0,1.0,1.0
jcae.csv,0.0,0.08,0.2,0.23,0.06,0.11,0.31,0.08,0.19,0.01,0.21,0.12,0.01,0.06,0.13,0.07,0.0,0.24,0.37,0.0
kftpgrabber.csv,0.37,0.05,0.44,0.02,0.12,0.11,0.3,0.02,0.67,0.05,0.07,0.25,0.04,0.03,0.26,0.4,0.09,0.42,0.11,0.0
libarchive.csv,0.63,0.77,0.94,0.57,0.43,0.56,0.68,0.22,0.95,0.67,0.35,0.77,0.58,0.66,0.71,0.84,0.63,0.9,0.85,0.24
mimosa.csv,0.85,0.91,0.47,0.85,0.89,0.89,0.6,0.51,0.24,0.74,0.34,0.91,0.92,0.61,0.73,0.86,0.61,0.66,0.96,0.93
monetdb.csv,0.46,0.34,0.25,0.23,0.25,0.11,0.24,0.37,0.31,0.26,0.07,0.35,0.46,0.22,0.32,0.58,0.22,0.1,0.39,0.13
nosleepsoftware.csv,0.17,0.09,0.01,0.17,0.0,0.0,0.06,0.02,0.02,0.21,0.03,0.09,0.24,0.01,0.03,0.0,0.23,0.11,0.19,0.06
openmsx.csv,0.83,0.0,0.66,0.74,0.99,1.0,0.37,0.9,0.45,0.54,0.0,0.47,0.18,0.0,0.85,1.0,0.28,0.9,0.8,0.87
quarkplayer.csv,0.05,0.09,0.37,0.09,0.29,0.11,0.14,0.03,0.33,0.13,0.58,0.3,0.12,0.37,0.13,0.42,0.04,0.37,0.11,0.65
riff-evolve.csv,0.05,0.2,0.77,0.3,0.13,0.33,0.4,0.25,0.6,0.32,0.24,0.54,0.05,0.6,0.39,0.63,0.14,0.63,0.3,0.06
virtuoso.csv,0.56,0.94,0.99,0.98,0.83,0.44,0.98,0.96,0.95,0.99,0.57,0.86,0.93,0.24,0.97,0.42,0.91,0.76,0.91,0.13
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0
zoolib.csv,0.07,0.34,0.2,0.36,0.19,0.33,0.31,0.33,0.1,0.34,0.17,0.49,0.22,0.03,0.27,0.28,0.12,0.15,0.39,0.06
