,cleartk.csv,intact.csv,miranda-icq.csv,roolo.csv,ofbiz.csv
cleartk.csv,0.0,0.7,0.41,0.65,0.79
intact.csv,0.5,0.0,0.01,0.24,0.25
miranda-icq.csv,0.07,0.62,0.01,0.38,0.23
ofbiz.csv,0.43,0.37,0.13,0.05,0.02
roolo.csv,0.14,0.26,0.07,0.0,0.3
