,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,1.0,0.65,0.35,0.93,0.7,0.61,0.66,0.79,0.54,0.95,1.0,0.67,0.54,0.88,0.63,0.96,0.62,0.88,0.73
dspace-gsoc.csv,0.99,0.81,0.62,0.87,0.53,0.93,0.72,0.52,0.83,0.31,0.7,0.76,0.39,0.76,0.64,0.79,0.8,0.73,0.94
grisbi.csv,1.0,0.72,0.99,1.0,0.62,0.94,0.88,0.8,0.8,0.22,0.84,0.72,0.9,0.83,0.61,0.65,0.9,0.77,0.94
maidsafe-dht.csv,0.5,0.76,0.75,0.89,0.43,0.81,0.65,0.65,0.36,0.24,1.0,0.57,0.64,0.51,0.7,0.95,0.81,0.67,0.65
mesa3d.csv,0.93,0.87,1.0,0.95,0.66,0.74,0.85,0.49,0.72,0.57,0.8,0.43,0.71,0.95,0.45,0.53,1.0,0.95,0.8
n2cms.csv,0.53,0.4,0.6,0.74,0.51,0.96,0.65,0.7,0.65,0.37,0.66,0.66,0.82,0.94,0.62,0.66,0.61,0.81,0.79
nassp.csv,1.0,0.71,0.65,0.8,0.66,0.73,0.75,0.24,0.86,0.67,1.0,0.85,0.87,0.77,0.73,0.64,0.5,0.77,0.65
ninject.csv,0.99,0.73,0.73,0.85,0.71,0.66,0.98,0.85,0.72,0.73,1.0,0.9,0.79,1.02,0.94,0.78,0.15,0.64,0.59
nug.csv,0.98,0.74,0.58,0.75,0.8,0.29,0.84,0.66,0.7,0.98,0.8,0.93,0.73,0.93,0.7,0.79,1.0,0.82,0.95
nuttx.csv,0.93,0.84,0.81,0.55,0.74,0.89,0.76,0.62,0.96,0.82,0.62,0.53,0.81,0.81,0.7,0.83,1.0,0.65,0.6
oorexx.csv,0.74,0.89,0.61,0.87,0.54,0.85,0.69,0.41,0.97,0.57,0.78,0.51,0.94,0.71,0.68,0.81,1.0,0.39,0.84
oppna-program-hsatools.csv,1.0,0.75,1.0,0.95,0.83,0.88,0.88,0.87,0.15,0.37,1.0,0.68,0.81,0.55,0.58,0.94,0.96,1.0,1.0
redshell.csv,1.0,0.81,0.73,0.87,0.75,0.84,0.42,0.89,0.81,1.13,0.78,0.84,0.94,0.96,0.56,0.85,0.73,0.78,0.8
super-tux.csv,0.54,0.73,0.84,1.0,0.68,0.68,0.64,0.62,0.97,1.06,0.99,0.77,1.0,0.74,0.09,0.88,1.0,0.66,0.59
tart.csv,1.0,0.82,0.71,0.94,0.48,0.78,0.73,0.5,0.69,0.5,0.95,0.24,0.73,0.9,0.62,0.87,0.69,0.67,0.84
tcvp.csv,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.0,0.33,1.01,1.0,1.09,0.99,1.0,1.0,1.0,1.0
vdsf.csv,0.65,0.74,0.98,1.02,0.88,1.01,0.88,0.93,0.75,1.0,0.59,0.65,0.91,0.99,0.83,0.99,1.0,0.85,0.97
web-cat.csv,0.73,0.81,0.6,0.79,0.73,0.98,0.65,0.83,0.89,1.0,0.99,0.7,0.93,1.0,0.46,0.77,0.91,0.64,0.29
zabbix.csv,0.81,0.77,0.62,0.85,0.54,0.9,0.68,0.41,0.72,0.49,0.66,0.43,0.88,0.54,0.51,0.8,0.91,0.57,0.51
