,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.58,0.67,0.04,0.29,0.31,0.72,0.0
glelite.csv,0.99,1.0,1.0,1.0,1.0,0.99,0.0
moving-pictures.csv,0.62,0.9,0.44,0.0,0.17,0.8,0.0
plearn.csv,0.0,0.1,0.85,0.58,0.57,0.24,0.33
re2c.csv,0.23,0.0,0.42,0.35,0.64,0.17,0.33
rebecca-aiml.csv,0.21,0.12,0.73,0.19,0.69,0.0,0.0
xfce.csv,0.77,0.84,0.71,0.61,0.03,0.46,1.0
