,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.45,0.43,0.65,0.0,0.41,0.52,0.88,0.48,0.0,0.76,0.41,0.55,0.61,0.41,0.56,0.37,0.39,0.53,0.57
boost.csv,0.43,0.57,0.43,0.45,0.56,0.62,0.41,0.55,0.47,0.36,0.42,0.42,0.59,0.49,0.5,0.88,0.55,0.43,0.45
codepurge.csv,0.58,0.44,0.49,0.35,0.45,0.43,0.49,0.71,0.39,0.38,0.35,0.59,0.58,0.48,0.43,0.75,0.62,0.89,0.42
elateportal.csv,0.58,0.49,0.46,0.46,0.64,0.47,0.39,0.56,0.47,0.59,0.43,0.41,0.46,0.6,0.52,0.31,0.41,0.44,0.41
etics.csv,0.5,0.69,0.49,0.52,0.86,0.6,0.51,0.58,0.46,0.46,0.47,0.71,0.83,0.83,0.75,0.5,0.48,0.48,0.68
factor.csv,0.55,0.96,0.59,0.52,0.89,0.62,0.59,0.82,0.62,0.9,0.83,0.81,0.83,0.89,0.89,0.6,0.39,0.52,0.91
gusanos.csv,0.44,0.52,0.79,0.39,0.92,0.4,0.45,0.44,0.42,0.89,0.88,0.35,0.45,0.51,0.52,0.41,0.0,0.48,0.39
kvs.csv,0.6,0.67,0.93,0.78,0.61,0.9,0.95,0.54,0.74,0.6,0.67,0.48,0.67,0.67,0.92,0.48,0.67,0.76,0.98
lcfizvtop.csv,0.45,0.47,0.41,0.41,0.6,0.59,0.35,0.44,0.42,0.75,0.5,0.34,0.4,0.5,0.49,0.32,0.39,0.83,0.42
mcore3d.csv,0.67,0.57,0.45,0.45,0.41,0.6,0.46,0.91,0.48,0.37,0.64,0.48,0.67,0.49,0.48,0.0,0.36,0.86,0.44
modellus.csv,0.64,0.66,0.52,0.45,0.86,0.67,0.42,0.53,0.46,0.91,0.65,0.51,0.5,0.74,0.72,0.5,0.47,0.8,0.48
modplug.csv,0.41,0.44,0.42,0.44,0.36,0.44,0.37,0.45,0.44,0.41,0.42,0.34,0.48,0.45,0.45,0.29,0.38,0.47,0.39
passwordsafe.csv,0.42,0.53,0.45,0.55,0.45,0.52,0.45,0.51,0.48,0.43,0.48,0.41,0.5,0.58,0.5,0.75,0.4,0.52,0.59
pixel-commandos.csv,0.65,0.77,0.97,0.94,0.89,0.88,0.0,0.95,0.0,0.41,0.86,0.89,0.94,0.77,0.88,0.0,0.75,0.0,0.99
projecteqemu.csv,0.52,0.67,0.62,0.42,0.75,0.73,0.68,0.62,0.59,0.45,0.46,0.38,0.78,0.64,0.91,0.0,0.71,0.8,0.74
pydev.csv,0.43,0.51,0.64,0.51,0.37,0.5,0.85,0.62,0.56,0.37,0.36,0.46,0.65,0.42,0.52,0.8,0.44,0.42,0.65
sandiaportals.csv,0.43,0.53,0.43,0.45,0.93,0.54,0.41,0.59,0.48,0.42,0.5,0.41,0.48,0.53,0.52,0.92,0.45,0.47,0.41
uwom.csv,0.55,0.7,0.5,0.45,0.8,0.55,0.43,0.55,0.93,0.42,0.47,0.44,0.93,0.67,0.84,0.75,0.0,0.58,0.61
xbplayer.csv,0.67,0.51,0.55,0.55,0.8,0.67,0.52,0.44,0.56,0.42,0.43,0.36,0.56,0.59,0.57,0.53,0.59,0.62,0.43
