,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.49,0.58,0.42,0.58,0.37,0.58,0.97,0.55,0.7,0.69
critterding.csv,0.31,0.95,0.43,0.45,0.19,0.35,0.59,0.52,0.63,0.47
enlightenment.csv,0.5,0.43,0.42,0.99,0.32,0.6,0.57,0.57,0.67,0.44
exordium.csv,0.42,0.55,0.97,0.47,0.35,0.69,0.1,0.5,0.34,0.58
google-caja.csv,0.54,0.49,0.42,0.47,0.32,0.99,0.56,0.62,0.76,0.71
itext.csv,0.53,0.28,0.41,0.62,0.31,0.43,0.3,0.45,0.51,0.99
lockss.csv,0.02,0.22,0.13,0.07,0.95,0.23,0.15,0.3,0.25,0.24
modplug.csv,0.55,0.61,0.51,0.72,0.4,0.76,0.46,0.59,0.99,0.49
reactos-mirror.csv,0.97,0.67,0.47,0.5,0.25,0.72,0.46,0.47,0.66,0.64
yafdotnet.csv,0.56,0.5,0.39,0.69,0.39,0.55,0.48,0.98,0.42,0.72
