,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.42,0.43,0.54,0.55,0.4,0.49,0.61,0.59,0.38,0.39
critterding.csv,0.99,0.61,0.62,0.72,0.75,0.9,0.8,0.64,0.65,0.53
enlightenment.csv,0.56,0.5,0.62,0.55,0.49,0.57,0.59,0.51,0.59,0.62
exordium.csv,0.71,0.57,0.72,0.71,0.57,0.49,0.0,0.56,0.93,0.39
google-caja.csv,0.39,0.47,0.44,0.61,0.47,0.34,0.69,0.38,0.36,0.41
itext.csv,0.57,0.88,0.67,0.6,0.5,0.72,0.61,0.68,0.7,0.46
lockss.csv,0.95,0.91,0.92,0.93,0.95,0.9,0.88,0.96,0.9,0.86
modplug.csv,0.41,0.48,0.5,0.48,0.46,0.41,0.5,0.43,0.43,0.58
reactos-mirror.csv,0.63,0.55,0.44,0.58,0.48,0.41,0.42,0.48,0.56,0.48
yafdotnet.csv,0.52,0.58,0.82,0.53,0.44,0.54,0.9,0.54,0.86,0.43
