,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.81,0.8,0.84,0.8,0.55,0.5,0.93,0.93,0.82,0.79,0.78,0.5,0.56,1.0,0.8,0.61,0.55,1.0,0.57
autofac.csv,0.7,0.86,0.96,0.35,0.77,0.71,0.48,0.84,0.81,0.64,0.63,0.58,0.93,0.66,0.66,0.65,0.54,0.74,0.53
avisynth2.csv,0.8,0.79,0.81,0.87,1.0,0.96,0.88,0.97,0.9,0.95,0.9,0.89,1.01,0.03,0.81,1.0,0.55,1.0,0.94
dsworkbench.csv,0.83,0.42,0.3,0.74,0.82,0.81,0.83,0.77,0.57,0.85,0.75,0.76,1.0,1.06,0.75,0.57,0.82,0.76,0.72
exist.csv,0.7,0.93,0.9,0.97,0.75,0.71,0.97,0.96,0.73,0.36,1.0,0.85,0.82,0.81,0.76,0.84,1.0,0.82,1.01
forester-atv.csv,0.74,0.34,0.52,0.83,1.0,0.87,0.84,0.95,0.47,0.84,0.92,0.65,1.0,1.0,0.53,0.71,0.71,0.92,0.77
freelords.csv,0.15,0.88,0.54,0.78,0.75,0.51,0.41,0.73,0.72,0.74,0.58,0.75,0.71,0.68,0.78,0.63,0.63,0.77,0.65
gephex.csv,0.82,0.87,1.0,0.94,0.94,0.55,0.57,0.78,0.75,0.74,0.48,0.93,1.0,1.25,0.61,0.87,0.65,0.41,0.6
google-collections.csv,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.8,1.0,1.0,0.92,1.0,1.0,1.0,1.0
java-gnome.csv,0.94,0.8,0.63,0.62,0.61,0.7,0.76,0.79,0.85,0.72,0.67,0.74,0.26,1.03,0.78,0.69,0.69,0.71,0.74
jpaul.csv,0.74,0.55,0.86,0.8,1.0,0.92,0.27,0.86,0.71,0.95,0.85,0.91,1.0,0.68,0.74,0.63,0.82,1.0,0.85
neodatis-odb.csv,1.03,0.8,0.72,0.6,0.79,0.74,0.75,0.42,0.71,0.74,0.68,0.62,1.0,0.89,0.63,0.52,0.94,0.67,0.63
octet.csv,1.04,0.82,0.69,0.93,0.69,0.7,0.83,0.59,0.68,0.97,0.48,0.56,1.1,0.95,0.97,0.24,0.71,0.65,0.54
personalaccess.csv,0.78,0.47,0.71,0.48,0.89,0.86,0.56,0.75,0.59,0.72,0.62,0.5,1.01,0.69,0.35,0.44,0.71,0.85,0.64
pokenetonline.csv,0.43,0.9,1.0,0.88,0.96,0.55,0.62,0.88,0.5,1.0,0.93,0.36,0.92,1.0,0.96,0.59,0.54,0.88,0.53
rcp-company-uibindings.csv,0.25,0.62,0.77,0.62,0.78,0.53,0.49,0.83,0.7,0.73,0.49,0.74,0.86,0.54,0.6,0.86,0.67,0.69,0.14
scenemonitor.csv,0.78,0.69,0.66,0.6,0.73,0.61,0.55,0.7,0.39,0.81,0.44,0.86,0.95,1.0,0.65,0.72,0.67,0.79,0.66
servicestack.csv,0.88,0.55,0.82,0.66,1.0,0.96,1.0,0.88,0.95,0.72,0.71,0.85,1.0,0.68,0.82,0.86,0.4,1.0,0.97
st-filteredstatistics.csv,0.62,0.9,0.59,0.69,0.75,0.65,0.86,0.63,0.59,0.93,0.27,0.66,0.75,0.5,0.54,0.82,0.56,0.73,0.71
