,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.92,0.44,0.67,0.58,0.6,0.09,0.93,1.0,0.58,0.61,0.71,0.85,0.87,0.89,0.59
autowikibrowser.csv,0.51,0.59,0.67,0.56,0.77,0.56,0.55,0.73,0.43,0.64,0.64,0.6,0.05,0.44,0.43
blue-c.csv,0.78,0.65,0.52,0.52,1.07,0.69,0.6,0.04,0.81,0.72,0.68,0.65,0.65,0.44,0.65
dynalloy.csv,0.71,0.75,0.06,0.99,0.83,0.52,0.87,1.01,0.51,0.7,0.84,0.86,0.84,0.93,0.59
hydrogen.csv,0.68,0.5,0.88,0.38,0.81,0.7,0.84,0.83,0.12,0.58,0.62,0.78,0.76,0.51,0.75
jcae.csv,0.92,0.77,0.89,0.0,0.88,0.82,0.83,0.8,0.44,1.0,0.8,0.82,0.82,0.6,0.96
lphant.csv,0.69,0.69,0.68,0.53,0.53,0.58,0.5,0.43,0.51,0.77,0.61,0.0,0.6,0.51,0.44
nosleepsoftware.csv,0.84,0.87,1.0,1.0,0.12,1.0,1.01,1.09,1.0,1.0,1.0,1.0,0.96,0.92,0.87
qgo.csv,0.46,0.07,0.83,0.4,0.51,0.57,0.75,0.74,0.58,0.49,0.66,0.86,0.58,0.5,0.55
quickfast.csv,0.71,0.67,0.72,0.9,0.59,0.63,0.56,0.59,0.46,0.73,0.86,0.66,0.58,0.45,0.02
rhex.csv,0.17,0.62,0.85,0.78,0.64,0.66,0.72,0.77,0.76,0.68,0.81,0.91,0.79,0.78,0.8
rocrail.csv,0.6,0.74,0.82,0.8,1.01,0.69,0.73,0.81,0.41,0.61,0.61,0.73,0.62,0.05,0.83
virtuoso.csv,0.76,0.83,0.89,0.88,0.98,0.92,0.9,1.0,0.66,0.07,0.56,0.97,0.87,0.85,0.79
xined.csv,0.95,0.88,0.92,0.89,0.78,0.81,0.98,0.86,0.69,0.88,0.0,0.7,0.76,0.76,0.81
yield.csv,0.61,0.51,0.67,0.47,0.97,0.61,0.03,0.44,0.56,0.58,0.77,0.67,0.57,0.66,0.47
