,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.69,0.54,0.54,0.39,0.51,0.17,0.58,0.5,0.57,0.65,0.5,0.67,0.48,0.24,0.96,0.09,0.58,0.34,0.22,0.52
checker-framework.csv,0.42,0.53,0.0,0.56,0.27,0.53,0.48,0.93,0.51,0.39,0.6,0.24,0.81,0.63,0.38,0.44,0.46,0.29,0.32,0.44
customsagetv.csv,0.1,0.12,0.0,0.0,0.0,0.02,0.0,0.0,0.21,0.04,0.04,0.02,0.97,0.0,0.0,0.0,0.21,0.17,0.0,0.28
elvishrayrenderer.csv,0.59,0.56,0.0,0.38,0.63,0.37,0.62,0.61,0.48,0.43,0.52,0.62,0.64,0.35,0.44,0.59,0.49,0.41,0.51,0.95
guineu.csv,1.0,0.37,0.0,0.41,0.13,0.31,0.34,0.53,0.42,0.55,0.0,0.44,0.52,0.51,0.21,0.54,0.34,0.45,0.52,0.29
inkscape.csv,0.34,0.32,0.36,0.4,0.31,1.0,0.2,0.0,0.44,0.22,0.54,0.29,0.0,0.2,0.37,0.22,0.45,0.35,0.44,0.29
mesa3d.csv,0.35,0.4,0.0,0.48,0.31,0.31,0.54,0.26,0.5,0.59,0.0,0.32,0.63,0.4,0.48,0.84,0.5,0.6,0.63,0.51
nsis.csv,0.53,0.35,0.0,0.23,0.21,0.44,0.55,0.57,0.38,0.99,0.0,0.58,0.48,0.32,0.42,0.48,0.37,0.46,0.47,0.66
octave.csv,0.62,0.64,0.67,0.65,0.93,0.58,0.57,0.42,0.42,0.2,0.47,0.57,0.38,0.43,0.53,0.52,0.43,0.53,0.44,0.44
oorexx.csv,0.38,0.31,0.15,0.52,0.56,0.57,0.42,0.65,0.52,0.45,0.38,0.36,0.49,0.27,0.58,0.17,0.53,0.38,0.93,0.39
owfs.csv,0.46,0.24,0.28,0.93,0.21,0.11,0.16,0.5,0.24,0.06,0.1,0.45,0.12,0.21,0.11,0.32,0.29,0.09,0.2,0.21
owlib.csv,0.61,0.99,0.46,0.65,0.58,0.39,0.52,0.39,0.54,0.57,0.56,0.44,0.75,0.56,0.31,0.6,0.57,0.42,0.49,0.56
prelude.csv,0.51,0.41,1.0,0.58,0.21,0.63,0.5,0.62,0.48,0.36,0.29,0.47,0.65,0.45,0.57,0.57,0.51,0.63,0.39,0.61
robocode.csv,0.71,0.43,0.28,0.59,0.44,0.42,1.0,0.58,0.58,0.36,0.25,0.62,0.53,0.56,0.53,0.42,0.59,0.22,0.41,0.57
tencompetence.csv,0.31,0.51,0.44,0.11,0.36,0.51,0.05,0.51,0.29,0.25,0.42,0.38,0.43,0.29,0.27,0.41,0.28,0.97,0.42,0.5
trinitycore.csv,0.27,0.1,0.02,0.48,0.21,0.15,0.42,0.4,0.68,0.02,0.15,0.26,0.29,0.12,0.17,0.17,0.98,0.5,0.32,0.43
uwom-server.csv,0.31,0.19,0.0,0.21,0.06,0.22,0.54,0.53,0.94,0.04,0.19,0.26,0.1,0.13,0.21,0.17,0.87,0.46,0.32,0.28
xfce.csv,0.57,0.43,0.51,0.7,0.43,0.48,0.56,0.61,0.61,0.39,0.62,0.43,0.55,0.94,0.67,0.54,0.57,0.44,0.57,0.52
zengine.csv,0.09,0.09,0.77,0.36,0.7,0.57,0.43,0.72,0.49,0.57,0.98,0.21,0.36,0.69,0.24,0.58,0.51,0.28,0.17,0.24
zildo.csv,0.46,0.43,0.41,0.7,0.36,0.46,0.39,0.67,0.35,0.5,0.5,0.98,0.48,0.47,0.31,0.53,0.36,0.51,0.46,0.55
