,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,1.0,12.0,0.0,1.0,8.0,0.0,3.0,8.0,12.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,12.0,0.0,3.0,1.0
checker-framework.csv,2.0,2.0,52.0,1.0,11.0,3.0,6.0,0.0,21.0,1.0,2.0,2.0,0.0,1.0,7.0,0.0,20.0,0.0,3.0,0.0
customsagetv.csv,1.0,0.0,52.0,62.0,124.0,0.0,50.0,68.0,2.0,0.0,0.0,4.0,0.0,250.0,72.0,322.0,2.0,0.0,60.0,0.0
elvishrayrenderer.csv,0.0,1.0,0.0,1.0,6.0,4.0,1.0,9.0,26.0,0.0,2.0,5.0,0.0,1.0,3.0,7.0,28.0,0.0,1.0,0.0
guineu.csv,0.0,0.0,0.0,1.0,14.0,4.0,1.0,3.0,14.0,1.0,2.0,4.0,0.0,1.0,8.0,2.0,13.0,0.0,1.0,0.0
inkscape.csv,12.0,0.0,0.0,11.0,14.0,0.0,0.0,68.0,2.0,0.0,0.0,2.0,95.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
mesa3d.csv,6.0,0.0,0.0,0.0,7.0,3.0,1.0,3.0,12.0,1.0,2.0,0.0,0.0,0.0,15.0,0.0,13.0,1.0,1.0,0.0
nsis.csv,12.0,6.0,0.0,1.0,13.0,3.0,3.0,3.0,27.0,0.0,2.0,3.0,0.0,1.0,8.0,2.0,27.0,0.0,1.0,0.0
octave.csv,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,5.0,0.0,3.0,0.0
oorexx.csv,3.0,5.0,0.0,6.0,10.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,10.0,0.0,0.0,0.0
owfs.csv,1.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0
owlib.csv,0.0,0.0,0.0,1.0,18.0,0.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0
prelude.csv,0.0,0.0,0.0,0.0,13.0,1.0,1.0,3.0,5.0,1.0,2.0,10.0,0.0,1.0,6.0,2.0,6.0,0.0,1.0,4.0
robocode.csv,1.0,5.0,0.0,3.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,6.0,1.0,0.0,4.0
tencompetence.csv,3.0,4.0,1.0,19.0,2.0,2.0,1.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,14.0,1.0,1.0,1.0
trinitycore.csv,0.0,8.0,0.0,1.0,10.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
uwom-server.csv,0.0,4.0,52.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
xfce.csv,0.0,0.0,6.0,1.0,11.0,2.0,4.0,3.0,12.0,1.0,0.0,17.0,0.0,0.0,9.0,2.0,12.0,0.0,0.0,0.0
zengine.csv,0.0,0.0,0.0,13.0,5.0,0.0,7.0,14.0,10.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,8.0,0.0,1.0,0.0
zildo.csv,1.0,0.0,2.0,1.0,13.0,4.0,5.0,12.0,22.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,22.0,0.0,1.0,0.0
