,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.39,0.59,0.39,0.41,0.49,0.91,0.39,0.48,0.57,0.67,0.52,0.4,0.49,0.46,0.67,0.46,0.57,0.48,0.87,0.5
checker-framework.csv,0.53,0.47,0.0,0.49,0.88,0.5,0.4,0.67,0.61,0.61,0.57,0.82,0.41,0.48,0.69,0.59,0.62,0.68,0.74,0.42
customsagetv.csv,0.75,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.75,0.0,0.8,0.52,0.0,0.0,0.0,0.95,0.97,0.0,0.78
elvishrayrenderer.csv,0.44,0.49,0.49,0.42,0.41,0.58,0.47,0.59,0.53,0.58,0.44,0.41,0.39,0.48,0.73,0.54,0.53,0.63,0.55,0.47
guineu.csv,0.69,0.83,0.53,0.42,0.4,0.75,0.92,0.69,0.66,0.76,0.66,0.64,0.55,0.62,0.94,0.66,0.76,0.99,0.59,0.82
inkscape.csv,0.51,0.72,0.5,0.6,0.72,0.44,0.83,0.89,0.64,0.78,0.48,0.78,0.88,0.98,0.77,0.95,0.61,0.57,0.5,0.56
mesa3d.csv,0.77,0.69,0.6,0.77,0.86,0.72,0.72,0.9,0.61,0.8,0.51,0.75,0.45,0.85,0.49,0.92,0.61,0.68,0.48,0.6
nsis.csv,0.39,0.44,0.5,0.43,0.39,0.39,0.44,0.55,0.47,0.49,0.44,0.42,0.33,0.58,0.47,0.54,0.46,0.54,0.42,0.47
octave.csv,0.55,0.46,0.45,0.44,0.95,0.45,0.6,0.59,0.57,0.8,0.67,0.51,0.77,0.57,0.59,0.64,0.56,0.51,0.48,0.48
oorexx.csv,0.55,0.65,0.83,0.42,0.51,0.42,0.53,0.47,0.6,0.45,0.53,0.63,0.45,0.9,0.62,0.98,0.61,0.5,0.5,0.59
owfs.csv,0.57,0.97,0.5,0.9,0.94,0.79,0.58,0.62,0.96,0.8,0.67,0.52,0.93,0.78,0.8,0.71,0.88,0.96,0.88,0.78
owlib.csv,0.51,0.54,0.71,0.56,0.5,0.54,0.6,0.68,0.52,0.6,0.57,0.55,0.37,0.61,0.8,0.55,0.51,0.71,0.46,0.37
prelude.csv,0.38,0.46,0.48,0.47,0.39,0.39,0.45,0.54,0.5,0.47,0.45,0.49,0.37,0.78,0.53,0.66,0.54,0.48,0.43,0.46
robocode.csv,0.4,0.65,0.64,0.37,0.5,0.68,0.52,0.47,0.47,0.47,0.7,0.46,0.49,0.43,0.62,0.52,0.48,0.75,0.8,0.35
tencompetence.csv,0.83,0.49,0.7,0.77,0.92,0.57,0.5,0.77,0.84,0.89,0.88,0.67,0.82,0.98,0.94,0.73,0.72,0.61,0.72,0.55
trinitycore.csv,0.95,0.96,0.0,0.88,0.93,0.86,0.68,0.7,0.95,0.67,0.78,0.93,0.79,0.95,0.91,0.95,0.8,0.82,0.85,0.73
uwom-server.csv,0.94,0.97,0.0,0.75,0.83,0.85,0.64,0.66,0.81,0.67,0.86,0.89,0.93,0.96,0.83,0.95,0.82,0.88,0.67,0.91
xfce.csv,0.37,0.44,0.74,0.48,0.59,0.48,0.5,0.6,0.54,0.64,0.56,0.4,0.41,0.46,0.44,0.59,0.52,0.51,0.58,0.42
zengine.csv,0.3,0.39,0.47,0.35,0.39,0.33,0.39,0.5,0.41,0.43,0.44,0.35,0.3,0.42,0.41,0.39,0.41,0.43,0.37,0.36
zildo.csv,0.58,0.78,0.76,0.69,0.86,0.56,0.53,0.59,0.69,0.8,0.78,0.47,0.62,0.7,0.76,0.72,0.69,0.8,0.58,0.5
