,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.52,0.11,0.87,1.0,0.89,0.88,0.97,0.51,0.88,0.81,0.77,0.93
freedom-erp.csv,0.9,1.0,0.73,1.0,1.0,0.95,0.03,1.0,1.0,1.0,1.0,1.0
javaprofiler.csv,0.7,0.8,0.69,0.76,0.87,0.77,0.63,0.86,0.58,0.74,0.82,0.03
jmoney.csv,0.1,0.89,0.73,0.98,0.89,0.96,0.49,0.88,0.77,0.96,1.0,0.96
jsidplay2.csv,0.44,0.96,0.1,0.69,0.91,0.69,0.83,0.6,0.91,1.0,0.76,0.88
reaper3d.csv,1.01,1.0,0.97,0.86,0.62,1.0,1.0,0.25,1.03,0.48,1.0,0.72
servicestack.csv,0.86,0.81,0.53,0.82,0.53,0.69,0.94,0.81,0.0,0.91,0.75,0.68
springside.csv,0.66,0.7,0.45,0.0,0.82,0.74,0.77,0.71,0.74,0.89,0.73,0.79
swtfox.csv,0.96,0.78,0.91,0.92,0.0,0.58,0.99,0.95,0.85,0.96,0.71,0.57
synecdoche.csv,0.81,0.82,0.66,0.6,0.7,0.68,0.61,0.7,0.73,0.94,0.0,0.76
tmva.csv,0.53,0.77,0.46,0.57,0.77,0.04,0.82,0.56,0.62,0.75,0.6,0.86
wsmt.csv,0.99,0.79,0.95,0.75,0.72,0.88,0.94,0.88,0.82,0.07,0.86,0.66
