,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.62,0.54,0.89,0.0,0.93,0.89,0.9,0.93,0.67,0.6,0.77,0.8
freedom-erp.csv,0.67,0.0,0.82,0.0,0.83,0.88,0.4,0.75,0.5,0.0,0.0,0.67
javaprofiler.csv,0.4,0.46,0.49,0.56,0.41,0.48,0.39,0.61,0.63,0.5,0.42,0.49
jmoney.csv,0.56,0.75,0.55,0.67,0.52,0.88,0.42,0.91,0.83,0.6,0.0,0.67
jsidplay2.csv,0.41,0.95,0.38,0.56,0.42,0.98,0.31,0.57,0.55,0.67,0.89,0.69
reaper3d.csv,0.8,0.0,0.96,0.64,0.77,0.0,0.0,0.83,0.69,0.68,0.0,0.58
servicestack.csv,0.4,0.89,0.62,0.63,0.58,0.68,0.96,0.7,0.71,0.41,0.94,0.56
springside.csv,0.33,0.41,0.39,0.59,0.41,0.43,0.31,0.36,0.42,0.38,0.35,0.41
swtfox.csv,0.86,0.53,0.96,0.54,0.7,0.58,0.94,0.76,0.81,0.86,0.95,0.7
synecdoche.csv,0.89,0.8,0.62,0.72,0.62,0.76,0.33,0.39,0.79,0.89,0.62,0.68
tmva.csv,0.41,0.44,0.41,0.49,0.54,0.52,0.31,0.39,0.46,0.49,0.48,0.56
wsmt.csv,0.92,0.79,0.88,0.79,0.95,0.97,0.97,0.86,0.89,0.58,0.86,0.72
