,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.63,0.63,0.18,0.95,0.42,0.42,0.5,0.2,0.4,0.07
firebird.csv,0.97,0.63,0.16,0.55,0.54,0.52,0.61,0.33,0.56,0.17
fmri-dmt.csv,0.1,0.0,0.2,0.04,0.09,0.1,0.08,0.0,0.04,0.91
htmlunit.csv,0.13,0.59,0.18,0.26,0.18,0.95,0.24,0.29,0.08,0.2
monetdb.csv,0.6,0.39,0.14,0.43,0.34,0.56,0.38,0.38,0.96,0.21
ontomorphtab.csv,0.47,0.99,0.09,0.51,0.53,0.55,0.49,0.37,0.48,0.14
smarttag.csv,0.58,0.47,0.06,0.38,0.36,0.52,0.59,0.96,0.49,0.11
taokgame.csv,0.35,0.5,1.0,0.39,0.52,0.08,0.4,0.51,0.39,0.14
webdriver.csv,0.52,0.61,0.19,0.46,0.42,0.26,0.98,0.37,0.26,0.17
xbplayer.csv,0.42,0.25,0.19,0.4,0.98,0.52,0.54,0.42,0.39,0.15
