,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.13,0.41,0.26,0.86,0.37,0.27,0.73,0.08,0.81,0.17,0.9,0.42,0.47,0.67
elateportal.csv,0.09,0.37,0.27,0.73,0.35,0.62,0.57,0.11,0.79,0.11,0.64,0.44,0.33,1.0
gdis.csv,0.52,0.32,0.25,0.81,0.38,0.32,0.71,0.14,0.82,0.19,0.98,0.35,0.56,0.5
gzigzag.csv,0.53,0.31,0.33,0.89,0.36,0.35,0.61,0.16,0.89,0.14,1.0,0.59,0.43,0.97
icescrum.csv,0.58,0.44,0.29,0.92,0.37,0.52,0.5,0.0,1.0,0.23,0.91,0.47,0.74,0.6
jguard.csv,0.11,0.29,0.26,0.87,0.54,0.36,0.49,0.14,0.93,0.1,0.93,0.52,0.33,0.91
jitterbit.csv,0.12,0.55,0.33,0.88,0.41,0.51,0.61,0.33,0.86,0.18,0.92,0.19,0.36,0.83
jython.csv,0.43,0.3,0.23,0.56,0.41,0.25,0.71,0.11,0.82,0.11,0.92,0.45,0.5,0.8
personalaccess.csv,0.11,0.36,0.25,0.89,0.34,0.28,0.47,0.1,0.94,1.0,0.88,0.54,0.48,1.0
ppcboot.csv,0.55,0.32,0.25,0.76,0.42,0.26,0.68,0.17,0.87,0.21,0.88,0.37,0.44,0.43
repositorium.csv,0.0,0.38,0.14,0.0,0.22,0.4,1.0,0.32,0.0,0.0,0.86,0.46,0.27,1.0
unbvision.csv,0.39,0.4,0.29,0.9,0.35,0.46,0.49,0.11,0.89,0.25,0.92,0.36,0.61,0.75
wxstudio.csv,0.04,0.15,0.25,0.42,0.31,0.12,0.41,0.15,0.84,0.0,0.68,0.69,0.33,0.9
xbg.csv,0.53,0.22,0.26,0.71,0.38,0.21,0.58,0.67,0.88,0.37,1.0,0.27,0.55,0.6
