,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.93,0.38,0.58,0.16,0.39,0.74,0.2,0.66,0.96,0.55,0.31,0.71,0.53,0.17
elateportal.csv,0.14,0.43,0.44,0.36,0.7,0.04,0.46,0.63,0.36,0.85,0.38,0.76,0.88,0.0
gdis.csv,0.09,0.58,0.78,0.2,0.41,0.59,0.23,0.42,0.64,0.4,0.08,0.65,0.34,0.33
gzigzag.csv,0.05,0.68,0.32,0.08,0.7,0.46,0.11,0.3,0.36,0.65,0.0,0.27,0.41,0.17
icescrum.csv,0.07,0.31,0.34,0.04,0.52,0.14,0.19,0.17,0.0,0.31,0.23,0.2,0.16,0.33
jguard.csv,0.94,0.62,0.46,0.08,0.32,0.29,0.4,0.22,0.2,0.16,0.15,0.41,0.56,0.5
jitterbit.csv,0.92,0.22,0.41,0.12,0.39,0.24,0.54,0.02,0.6,0.6,0.23,0.53,0.84,0.33
jython.csv,0.17,0.77,0.49,0.88,0.36,0.91,0.15,0.67,0.36,0.71,0.08,0.86,0.16,0.17
personalaccess.csv,0.89,0.41,0.66,0.08,0.77,0.54,0.53,0.33,0.24,0.0,0.15,0.27,0.44,0.0
ppcboot.csv,0.1,0.67,0.66,0.32,0.34,0.82,0.3,0.29,0.56,0.49,0.38,0.8,0.59,0.67
repositorium.csv,0.05,0.17,0.06,0.04,0.62,0.07,0.0,0.24,0.0,0.22,0.08,0.31,0.25,0.0
unbvision.csv,0.18,0.37,0.26,0.04,0.5,0.29,0.38,0.48,0.36,0.22,0.23,0.29,0.28,0.17
wxstudio.csv,0.81,0.57,0.32,0.88,0.52,0.58,0.7,0.52,0.48,0.16,0.77,0.22,0.44,0.83
xbg.csv,0.09,0.33,0.27,0.16,0.18,0.53,0.53,0.01,0.12,0.22,0.0,0.22,0.16,0.33
