,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.27,0.67,0.59,0.83,0.46,0.55,0.52,0.42,0.17,0.66,0.66,0.54,0.7,0.06
elateportal.csv,0.11,0.64,0.53,0.76,0.55,0.2,0.54,0.56,0.32,0.42,0.19,0.54,0.36,0.96
gdis.csv,0.68,0.62,0.53,0.74,0.49,0.67,0.56,0.56,0.52,0.62,0.83,0.43,0.72,0.06
gzigzag.csv,0.46,0.62,0.55,0.58,0.57,0.66,0.18,0.48,0.62,0.61,0.27,0.54,0.54,0.78
icescrum.csv,0.68,0.64,0.48,0.42,0.55,0.48,0.2,0.0,0.28,0.63,0.57,0.28,0.76,0.09
jguard.csv,0.23,0.58,0.52,0.48,0.7,0.5,0.37,0.31,0.58,0.14,0.52,0.59,0.46,0.65
jitterbit.csv,0.29,0.71,0.64,0.76,0.52,0.71,0.68,0.11,0.66,0.71,0.65,0.18,0.44,0.26
jython.csv,0.85,0.56,0.49,0.4,0.5,0.32,0.39,0.54,0.38,0.51,0.23,0.44,0.3,0.11
personalaccess.csv,0.35,0.6,0.57,0.62,0.51,0.57,0.43,0.31,0.8,0.29,0.3,0.45,0.65,0.13
ppcboot.csv,0.83,0.63,0.57,0.82,0.5,0.47,0.6,0.49,0.66,0.77,0.64,0.44,0.67,0.08
repositorium.csv,0.0,0.32,0.04,0.0,0.34,0.16,0.01,0.88,0.0,0.0,0.13,0.39,0.19,0.02
unbvision.csv,0.78,0.65,0.38,0.35,0.5,0.7,0.36,0.46,0.6,0.54,0.67,0.26,0.74,0.09
wxstudio.csv,0.22,0.29,0.38,0.31,0.44,0.25,0.4,0.66,0.5,0.0,0.33,0.7,0.4,0.5
xbg.csv,0.76,0.28,0.35,0.38,0.24,0.41,0.6,0.22,0.2,0.86,0.22,0.13,0.37,0.09
