,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.15,0.52,0.71,0.47,0.78,0.29,0.72,0.5,0.14,0.25,0.25,0.68
jaolt.csv,0.33,0.62,0.58,0.18,0.65,0.05,0.76,0.48,0.1,0.53,0.36,0.61
jcl.csv,0.12,0.48,0.35,0.29,0.69,0.3,0.52,0.4,0.41,0.49,0.23,0.54
kmess.csv,0.19,0.59,0.42,0.36,0.87,0.15,0.24,0.58,0.18,0.44,0.3,0.72
ossbuild.csv,0.06,0.46,0.57,0.33,0.66,0.45,0.46,0.5,0.34,0.29,0.4,0.6
qgo.csv,0.24,0.89,0.36,0.41,0.89,0.15,0.78,0.51,0.22,0.62,0.35,0.73
quark.csv,0.0,0.47,0.24,0.1,0.27,0.0,0.15,0.39,0.33,0.25,0.58,0.16
rezilla.csv,0.2,0.44,0.17,0.64,0.6,0.14,0.49,0.41,0.24,0.69,0.29,0.63
rhex.csv,0.48,0.61,0.16,0.1,0.6,0.05,0.64,0.46,0.2,0.38,0.25,0.47
toped.csv,0.17,0.56,0.59,0.49,0.9,0.23,0.77,0.37,0.21,0.43,0.33,0.74
truevision.csv,0.18,0.63,0.29,0.46,0.83,0.0,0.43,0.65,0.21,0.47,0.36,0.66
wxstudio.csv,0.28,0.37,0.21,0.25,0.32,0.06,0.55,0.39,0.0,0.68,0.27,0.39
