,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.61,0.67,0.26,0.87,0.54,0.13,0.25,0.22,0.0,0.4,0.3,0.18,0.59,0.94,0.78,0.54,0.02
dynalloy.csv,0.53,0.45,1.0,0.37,0.28,0.3,0.62,0.52,0.48,0.4,0.25,0.26,0.31,0.36,0.64,0.18,0.64
enzo.csv,0.61,0.66,0.56,0.3,0.52,0.58,0.68,0.69,0.32,0.5,0.59,0.98,0.47,0.64,0.64,0.66,0.65
hydrogen.csv,0.47,0.5,0.12,0.48,0.15,0.0,0.12,0.95,0.04,0.0,0.53,0.1,0.11,0.27,0.63,0.3,0.48
jcae.csv,0.1,0.09,0.1,0.91,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.37,0.09,0.0,0.0,0.42
kmatplot.csv,0.45,0.88,0.16,0.13,0.48,0.0,0.33,0.43,0.11,0.0,0.59,0.48,0.11,0.4,0.39,0.45,0.53
lphant.csv,0.72,0.75,0.49,0.72,0.62,0.48,0.58,0.59,0.6,0.39,0.53,0.5,0.96,0.62,0.61,0.61,0.58
natpad.csv,0.46,0.52,0.52,0.73,0.42,0.36,0.52,0.65,0.5,0.3,0.6,0.4,0.43,0.46,0.73,0.53,0.96
nosleepsoftware.csv,0.29,0.46,0.1,0.74,1.0,0.06,0.1,0.49,0.11,0.11,0.58,0.28,0.06,0.44,0.71,0.55,0.63
ossbuild.csv,0.2,0.68,0.4,0.49,0.0,0.19,0.58,0.64,0.87,0.58,0.48,0.17,0.66,0.65,0.6,0.27,0.35
quarkplayer.csv,0.35,0.25,0.12,0.26,0.73,0.19,0.12,0.29,0.0,1.0,0.06,0.4,0.17,0.29,0.42,0.18,0.25
quickfast.csv,0.6,0.59,0.71,0.5,0.61,0.41,0.61,0.64,0.5,0.77,0.59,0.7,0.35,0.61,0.62,1.0,0.59
rezilla.csv,0.43,0.53,0.42,0.24,0.42,0.96,0.44,0.62,0.63,0.3,0.47,0.38,0.31,0.38,0.21,0.63,0.35
rhex.csv,0.93,0.25,0.18,0.57,0.43,0.0,0.19,0.29,0.0,0.11,0.17,0.13,0.21,0.27,0.59,0.18,0.3
rocrail.csv,0.2,0.5,0.2,0.49,0.07,0.13,0.17,0.49,0.15,0.11,0.37,0.11,0.17,0.09,0.88,0.25,0.35
virtuoso.csv,0.0,0.64,0.4,0.66,0.38,0.45,0.55,0.75,0.74,0.21,0.9,0.29,0.55,0.53,0.66,0.18,0.49
yield.csv,0.74,0.7,0.46,0.58,0.62,0.36,1.0,0.68,0.25,0.63,0.58,0.7,0.66,0.71,0.69,0.67,0.57
