,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.58,0.66,0.23,1.0,0.5,0.11,0.21,0.19,0.0,0.36,0.26,0.15,0.55,0.93,0.86,0.51,0.02
dynalloy.csv,0.5,0.41,1.0,0.33,0.25,0.26,0.78,0.5,0.44,0.36,0.21,0.22,0.27,0.32,0.64,0.15,0.63
enzo.csv,0.92,1.0,0.83,1.0,0.75,0.58,0.78,0.81,0.56,0.64,0.86,0.98,1.0,0.93,1.0,0.87,0.79
hydrogen.csv,0.42,0.45,0.1,0.44,0.12,0.0,0.1,0.94,0.03,0.0,0.5,0.08,0.09,0.23,0.59,0.26,0.44
jcae.csv,0.08,0.07,0.08,0.89,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.32,0.07,0.0,0.0,0.37
kmatplot.csv,0.42,0.86,0.13,0.11,0.44,0.0,0.3,0.38,0.09,0.0,0.55,0.44,0.09,0.36,0.36,0.4,0.49
lphant.csv,0.75,0.79,0.69,0.89,0.62,0.68,0.67,0.56,0.78,0.36,0.9,0.53,0.95,0.61,0.64,0.6,0.56
natpad.csv,0.42,0.48,0.56,0.89,0.38,0.32,0.48,0.69,0.5,0.27,0.69,0.4,0.41,0.41,0.77,0.49,0.95
nosleepsoftware.csv,0.25,0.41,0.08,0.78,1.0,0.05,0.08,0.44,0.09,0.09,0.57,0.24,0.05,0.39,0.73,0.51,0.6
ossbuild.csv,0.17,0.69,0.35,0.44,0.0,0.16,0.54,0.62,0.84,0.55,0.43,0.14,0.68,0.66,0.55,0.23,0.3
quarkplayer.csv,0.33,0.21,0.1,0.22,0.81,0.16,0.1,0.25,0.0,1.0,0.05,0.38,0.14,0.25,0.41,0.15,0.23
quickfast.csv,0.75,0.69,0.81,0.56,0.62,0.37,0.67,0.75,0.75,0.91,0.74,0.76,0.32,0.59,0.82,1.0,0.84
rezilla.csv,0.58,0.55,0.42,0.22,0.94,0.95,0.43,0.62,0.72,0.27,0.79,0.35,0.27,0.36,0.95,0.68,0.33
rhex.csv,0.92,0.21,0.15,0.56,0.38,0.0,0.16,0.25,0.0,0.09,0.14,0.11,0.18,0.23,0.55,0.15,0.26
rocrail.csv,0.17,0.45,0.17,0.44,0.06,0.11,0.14,0.44,0.12,0.09,0.33,0.09,0.14,0.07,0.86,0.21,0.3
virtuoso.csv,0.0,0.66,0.83,1.0,0.38,0.42,0.65,0.94,0.91,0.18,0.88,0.25,0.82,0.64,0.73,0.15,0.58
yield.csv,0.83,0.79,0.44,0.89,0.69,0.32,1.0,0.88,0.72,0.73,0.69,0.7,0.77,0.86,0.91,0.68,0.79
