,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,1.04,0.95,1.0,0.86,0.92,0.73,0.88,0.89,0.91,0.1,0.88,1.02,1.0,0.91,0.94,0.52,0.14,0.86,0.97,0.83
blogentis.csv,0.56,0.79,0.6,0.76,1.11,0.75,0.0,0.78,0.89,0.93,0.63,0.95,0.58,0.61,0.65,1.02,0.8,0.87,0.72,0.89
carabiner.csv,1.01,0.73,0.97,0.79,0.97,0.55,0.43,0.81,0.55,0.34,0.55,0.49,0.84,0.6,0.88,0.69,0.66,0.73,0.73,0.05
continuum-ide.csv,1.0,0.69,0.93,0.77,0.86,0.64,0.88,0.9,1.0,0.03,0.62,0.8,0.84,0.82,0.0,0.94,0.82,1.0,1.0,0.91
emulemorph.csv,1.0,1.0,1.0,1.0,1.0,1.03,1.0,0.94,1.0,1.0,0.99,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gtad.csv,0.0,0.97,1.0,0.94,0.98,0.82,0.75,0.98,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.85,0.91,1.0,1.0,0.95
htmlunit.csv,0.5,0.97,1.0,0.56,0.88,0.77,0.88,0.93,0.8,1.0,0.05,0.6,1.0,0.46,0.63,0.73,0.98,1.0,1.0,0.91
jaxen.csv,1.0,0.82,1.0,0.82,0.92,0.82,1.0,1.0,1.0,0.02,0.9,0.0,0.67,0.8,0.9,0.92,0.91,1.0,1.0,1.0
jsr308-langtools.csv,0.64,0.67,1.05,0.9,0.43,0.56,0.59,0.79,0.84,1.02,0.48,0.46,0.83,0.0,0.71,0.52,0.63,0.87,0.58,0.45
jvcl.csv,1.0,1.0,1.0,0.0,1.0,0.91,0.84,0.97,0.9,1.15,0.95,0.97,1.0,0.77,1.0,0.94,1.01,1.0,0.95,1.02
kaffeine.csv,0.94,0.93,1.03,0.99,0.09,0.56,0.62,0.92,0.85,0.67,0.52,0.52,0.94,0.65,0.95,0.75,0.7,0.92,1.0,0.56
m-m-m.csv,0.8,0.88,0.9,0.79,0.73,0.71,0.78,0.0,0.85,0.52,0.93,0.98,0.66,0.85,0.63,0.4,0.95,0.68,0.95,0.79
motu.csv,0.5,0.95,1.0,0.63,1.0,0.91,0.88,0.88,1.0,1.0,0.75,0.41,1.0,0.83,0.79,0.08,0.91,1.0,0.98,0.86
nh3d.csv,1.0,1.0,0.0,1.0,1.0,0.82,0.96,1.0,0.8,1.0,0.98,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.95,0.95
sarasvati.csv,1.04,0.7,1.0,1.0,1.05,0.0,0.96,0.98,0.91,1.04,0.81,0.26,0.88,0.86,0.92,0.71,0.7,0.58,0.84,1.0
stemkit.csv,1.06,0.98,1.0,0.82,1.14,1.0,0.87,0.86,0.8,1.02,0.82,1.01,1.01,1.03,1.0,1.0,0.98,0.0,0.71,0.95
taokgame.csv,1.0,1.0,1.0,1.0,1.0,0.57,0.98,1.0,0.1,1.34,1.0,0.86,1.0,1.0,1.0,0.91,0.87,1.0,0.89,0.85
wgs-assembler.csv,1.01,0.05,0.76,0.9,0.94,0.59,1.01,0.76,0.66,0.2,0.93,1.01,0.85,0.87,0.91,0.89,0.73,0.85,0.65,0.92
zabbix.csv,0.73,0.68,0.89,0.92,0.85,0.74,0.79,0.75,0.74,0.67,0.65,0.58,0.79,0.46,0.92,0.76,0.76,0.81,0.02,0.78
