,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,72.0,0.0,355.0,8.0,1.0,1.0,8.0,0.0,1.0,6.0,2.0,86.0,109.0,2.0,5.0,4.0,0.0,14.0,1.0,1.0
blogentis.csv,17.0,7.0,0.0,19.0,1.0,10.0,0.0,0.0,3.0,57.0,18.0,52.0,2.0,0.0,6.0,13.0,0.0,14.0,0.0,8.0
carabiner.csv,72.0,5.0,0.0,5.0,1.0,12.0,1.0,0.0,1.0,21.0,23.0,17.0,2.0,2.0,6.0,7.0,26.0,12.0,6.0,0.0
continuum-ide.csv,72.0,0.0,133.0,5.0,0.0,3.0,2.0,0.0,91.0,2.0,3.0,1.0,4.0,3.0,0.0,8.0,1.0,77.0,161.0,1.0
emulemorph.csv,72.0,108.0,355.0,158.0,59.0,169.0,92.0,0.0,91.0,61.0,2.0,86.0,0.0,49.0,55.0,58.0,128.0,77.0,161.0,72.0
gtad.csv,0.0,0.0,355.0,6.0,0.0,3.0,0.0,0.0,91.0,61.0,3.0,86.0,109.0,49.0,55.0,0.0,2.0,77.0,161.0,1.0
htmlunit.csv,5.0,0.0,355.0,0.0,0.0,13.0,2.0,0.0,0.0,61.0,0.0,1.0,109.0,0.0,0.0,5.0,26.0,77.0,161.0,2.0
jaxen.csv,72.0,2.0,355.0,2.0,0.0,1.0,92.0,60.0,91.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,77.0,161.0,72.0
jsr308-langtools.csv,17.0,0.0,199.0,2.0,0.0,15.0,10.0,0.0,16.0,61.0,1.0,28.0,39.0,0.0,7.0,2.0,0.0,18.0,1.0,0.0
jvcl.csv,72.0,108.0,355.0,0.0,59.0,12.0,1.0,0.0,0.0,61.0,22.0,62.0,109.0,2.0,55.0,4.0,128.0,77.0,0.0,16.0
kaffeine.csv,51.0,4.0,0.0,10.0,0.0,17.0,6.0,0.0,1.0,41.0,2.0,30.0,33.0,5.0,10.0,10.0,11.0,6.0,0.0,5.0
m-m-m.csv,41.0,4.0,85.0,10.0,0.0,16.0,7.0,0.0,8.0,32.0,26.0,68.0,2.0,9.0,5.0,2.0,7.0,5.0,0.0,5.0
motu.csv,1.0,2.0,355.0,0.0,59.0,2.0,0.0,0.0,91.0,61.0,2.0,3.0,109.0,0.0,1.0,0.0,5.0,77.0,0.0,0.0
nh3d.csv,72.0,108.0,0.0,158.0,59.0,0.0,0.0,60.0,1.0,61.0,0.0,86.0,109.0,49.0,55.0,4.0,128.0,77.0,0.0,0.0
sarasvati.csv,72.0,2.0,355.0,158.0,0.0,0.0,0.0,0.0,2.0,61.0,21.0,7.0,2.0,8.0,5.0,5.0,10.0,9.0,0.0,72.0
stemkit.csv,72.0,4.0,355.0,5.0,0.0,169.0,9.0,0.0,2.0,61.0,15.0,86.0,109.0,49.0,55.0,58.0,10.0,0.0,0.0,1.0
taokgame.csv,72.0,108.0,355.0,158.0,59.0,12.0,9.0,60.0,0.0,61.0,276.0,24.0,109.0,49.0,55.0,12.0,10.0,77.0,0.0,8.0
wgs-assembler.csv,72.0,0.0,43.0,7.0,2.0,11.0,92.0,0.0,2.0,12.0,6.0,86.0,10.0,1.0,2.0,6.0,0.0,8.0,0.0,1.0
zabbix.csv,38.0,2.0,72.0,10.0,0.0,16.0,13.0,0.0,2.0,41.0,16.0,36.0,1.0,6.0,14.0,11.0,6.0,17.0,0.0,11.0
