,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.38,0.39,0.0,0.58,0.66,0.37,0.45,0.5,0.1,0.53,0.38,0.41,0.1,0.49,0.63,0.23,0.24
botsnscouts.csv,0.61,0.65,0.23,0.55,0.24,0.45,0.71,0.63,0.42,0.53,0.31,0.62,0.36,0.67,0.49,0.13,0.45
cities3d.csv,0.16,0.57,0.56,0.69,0.51,0.31,0.09,0.19,0.02,0.53,0.0,0.51,0.1,0.34,0.33,0.08,0.61
dynalloy.csv,0.78,0.54,0.0,0.61,0.63,0.61,0.48,0.74,0.48,0.22,0.65,0.05,0.67,0.7,0.56,0.84,0.71
electric-core.csv,0.68,0.54,0.0,0.72,0.67,0.58,0.64,0.71,0.0,0.59,0.68,0.0,0.67,0.58,0.63,0.86,0.5
findbugs.csv,0.6,0.49,0.14,0.75,0.73,0.52,0.34,0.68,0.29,0.6,0.63,0.0,0.62,0.66,0.68,0.13,0.64
img-browse-sort.csv,0.64,0.27,0.33,0.62,0.51,0.56,0.48,0.68,0.31,0.62,0.51,0.77,0.83,0.53,0.61,0.66,0.43
jparsec.csv,0.52,0.36,0.38,0.48,0.13,0.54,0.69,0.33,0.0,0.6,0.31,0.7,0.63,0.0,0.36,0.1,0.33
moast.csv,0.6,0.37,0.0,0.49,0.29,0.69,0.0,0.0,0.33,0.35,0.48,0.48,0.3,0.14,0.58,0.97,0.38
mptvseries.csv,0.48,0.45,0.0,0.71,0.81,0.76,0.35,0.62,0.0,0.14,0.44,0.54,0.58,0.44,0.43,0.0,0.34
mvnforum.csv,0.37,0.2,0.0,0.04,0.36,0.62,0.49,0.64,0.33,0.14,0.53,0.46,0.34,0.23,0.47,0.75,0.23
nosleepsoftware.csv,0.02,0.17,0.71,0.1,0.13,0.0,0.0,0.22,0.38,0.0,0.0,0.0,0.1,0.12,0.05,0.01,0.11
ogre.csv,0.43,0.44,0.6,0.39,0.34,0.34,0.54,0.4,0.96,0.45,0.37,0.45,0.39,0.57,0.56,0.0,0.35
openfrag.csv,0.51,0.63,0.0,0.71,0.66,0.61,0.65,0.65,0.0,0.38,0.76,0.05,0.67,0.56,0.65,0.49,0.49
qdvdauthor.csv,0.53,0.27,0.41,0.04,0.73,0.68,0.25,0.0,0.0,0.39,0.56,0.57,0.35,0.7,0.41,0.74,0.6
sumatrapdf.csv,0.05,0.39,0.56,0.63,0.66,0.57,0.51,0.78,0.0,0.05,0.53,0.0,0.37,0.57,0.09,0.45,0.8
zxing.csv,0.63,0.46,0.07,0.73,0.71,0.75,0.48,0.44,0.17,0.57,0.36,0.55,0.53,0.71,0.62,0.27,0.75
