,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.48,0.42,0.14,0.98,0.53,0.33,0.14,0.4,0.47,0.44
arsenal-1.csv,0.72,0.38,1.0,0.59,0.42,0.52,0.37,0.39,0.32,0.2
barracudamvc.csv,1.0,0.55,0.62,0.48,0.44,0.86,0.47,0.43,0.85,0.7
irplus.csv,0.6,0.54,0.43,0.5,0.49,0.41,1.0,0.55,0.45,0.56
lite.csv,0.21,0.15,0.07,0.2,0.4,0.23,0.3,1.0,0.17,0.2
mumble.csv,0.37,0.49,0.36,0.53,1.0,0.27,0.26,0.33,0.24,0.46
ontopia.csv,0.5,0.6,0.64,0.52,0.48,0.99,0.49,0.38,0.78,0.71
openintents.csv,0.47,1.0,0.56,0.6,0.34,0.46,0.54,0.27,0.28,0.33
ta3d.csv,0.85,0.53,0.64,0.6,0.46,0.83,0.49,0.37,0.78,0.97
tweetsharp.csv,0.66,0.54,0.6,0.56,0.38,0.35,0.44,0.39,1.0,0.75
