,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.83,0.53,1.0,1.0,0.54,0.76,0.67,0.35,0.82,0.73
arsenal-1.csv,0.86,0.34,1.0,0.52,0.5,0.83,0.38,0.29,0.64,0.67
barracudamvc.csv,0.99,0.43,0.51,0.39,0.28,0.88,0.35,0.27,0.74,0.69
irplus.csv,0.82,0.52,0.41,0.46,0.5,0.78,1.0,0.44,0.81,0.73
lite.csv,0.65,0.67,1.0,0.38,0.53,0.83,0.62,1.0,0.67,0.67
mumble.csv,0.81,0.5,0.47,0.62,1.0,0.86,0.38,0.29,0.67,0.71
ontopia.csv,0.81,0.5,0.47,0.39,0.33,1.0,0.37,0.32,0.72,0.73
openintents.csv,0.87,1.0,0.56,0.67,0.36,0.83,0.52,0.23,0.88,0.57
ta3d.csv,0.83,0.4,0.47,0.44,0.33,0.84,0.35,0.25,0.76,0.97
tweetsharp.csv,0.89,0.52,0.46,0.44,0.26,0.81,0.44,0.26,1.0,0.7
