,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.52,0.67,0.5,0.48,0.5,0.62,0.67,0.45,0.47,0.53
arsenal-1.csv,0.42,0.41,0.56,0.45,0.83,0.63,0.71,0.48,0.79,0.83
barracudamvc.csv,0.38,0.33,0.37,0.39,0.38,0.38,0.39,0.36,0.39,0.42
irplus.csv,0.44,0.4,0.41,0.42,0.58,0.56,0.6,0.48,0.5,0.41
lite.csv,0.95,0.67,0.0,0.88,0.8,0.92,0.88,0.67,0.83,0.83
mumble.csv,0.65,0.5,0.53,0.62,0.6,0.93,0.77,0.48,0.89,0.41
ontopia.csv,0.64,0.41,0.36,0.36,0.39,0.38,0.38,0.55,0.4,0.39
openintents.csv,0.59,0.52,0.44,0.5,0.95,0.66,0.56,0.59,0.88,0.93
ta3d.csv,0.36,0.31,0.37,0.36,0.45,0.36,0.35,0.45,0.4,0.46
tweetsharp.csv,0.53,0.48,0.42,0.36,0.43,0.71,0.64,0.37,0.45,0.47
