,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.65,0.0,0.56,0.88,0.75,0.6,0.67,0.8,0.51,0.5,0.92,0.85,0.65,0.96,0.81,0.47,0.51,0.86
bionote.csv,0.0,0.8,0.8,0.8,0.8,0.85,0.8,0.75,0.59,0.0,0.8,0.95,0.88,0.8,0.75,0.75,0.86,0.88
buddata-ebxml-registry.csv,0.38,0.48,0.53,0.3,0.38,0.34,0.4,0.44,0.41,0.38,0.46,0.35,0.37,0.43,0.35,0.32,0.34,0.38
bullet.csv,0.41,0.53,0.91,0.29,0.4,0.48,0.38,0.52,0.78,0.4,0.51,0.4,0.43,0.47,0.4,0.48,0.47,0.46
bulmages.csv,0.52,0.0,0.88,0.5,0.9,0.67,0.0,0.89,0.5,0.0,0.83,0.88,0.0,0.93,0.67,0.0,0.67,0.86
bwapi.csv,0.54,0.42,0.77,0.56,0.35,0.48,0.35,0.37,0.9,0.76,0.56,0.44,0.44,0.46,0.44,0.52,0.44,0.38
cubefs.csv,0.35,0.59,0.0,0.48,0.86,0.62,0.39,0.5,0.49,0.45,0.92,0.38,0.41,0.9,0.92,0.45,0.58,0.8
emisview.csv,0.0,0.86,0.88,0.62,0.67,0.75,0.0,0.0,0.62,0.0,0.5,0.93,0.88,0.0,0.93,0.8,0.93,0.0
java-gnome.csv,0.94,0.92,0.57,0.62,0.56,0.69,0.4,0.84,0.96,0.41,0.79,0.51,0.53,0.65,0.87,0.73,0.8,0.54
jgameai.csv,0.0,0.85,0.5,0.83,0.64,0.89,0.89,0.92,0.54,0.68,0.94,0.89,0.9,0.96,0.92,0.85,0.89,0.75
megasquirtavr.csv,0.39,0.47,0.79,0.3,0.38,0.34,0.4,0.44,0.42,0.38,0.46,0.34,0.37,0.43,0.33,0.31,0.35,0.38
mp-rechnungs-und-kundenverwaltung.csv,0.31,0.92,0.79,0.93,0.65,0.52,0.61,0.92,0.94,0.7,0.89,0.67,0.9,0.74,0.92,0.8,0.91,0.61
mptvseries.csv,0.54,0.81,0.68,0.89,0.62,0.59,0.97,0.92,0.52,0.0,0.95,0.83,0.86,0.74,0.83,0.46,0.69,0.89
oorexx.csv,0.38,0.51,0.7,0.35,0.49,0.62,0.96,0.39,0.49,0.61,0.63,0.41,0.43,0.51,0.56,0.62,0.42,0.5
somap.csv,0.39,0.48,0.53,0.31,0.38,0.34,0.4,0.44,0.41,0.38,0.46,0.35,0.37,0.43,0.35,0.38,0.35,0.38
tktoolkit.csv,0.73,0.65,0.55,0.5,0.55,0.53,0.95,0.71,0.58,0.45,0.94,0.62,0.62,0.74,0.93,0.58,0.51,0.62
xharbour.csv,0.38,0.54,0.57,0.49,0.48,0.39,0.43,0.47,0.42,0.39,0.54,0.43,0.46,0.54,0.34,0.45,0.34,0.53
