,f1,g,recall,precision,pf,wins
acegisecurity.csv,0.47,0.5700000000000001,0.545,0.445,0.28500000000000003,11
gdis.csv,0.46,0.555,0.565,0.41000000000000003,0.39,8
kml.csv,0.51,0.41,0.88,0.365,0.865,7
ppcboot.csv,0.55,0.19,1.0,0.38,0.955,6
repositorium.csv,0.08,0.11,0.09,0.245,0.20500000000000002,0
rsyslog.csv,0.46499999999999997,0.515,0.72,0.395,0.4,10
simplewebservices.csv,0.49,0.19,0.8999999999999999,0.365,0.95,4
ultimairis.csv,0.51,0.41,0.85,0.43000000000000005,0.575,9
wow-qrsk.csv,0.21,0.21500000000000002,0.18,0.53,0.06,5
wxstudio.csv,0.28500000000000003,0.36,0.475,0.295,0.645,3
xbg.csv,0.265,0.23500000000000001,0.20500000000000002,0.35,0.3,2
xqilla.csv,0.16499999999999998,0.21,0.18,0.28500000000000003,0.265,1
