,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.71,0.44,0.37,0.71,0.76,0.23,0.38,0.18,0.96,0.01,0.48,0.45
gdis.csv,0.57,0.32,0.53,0.72,0.61,0.15,0.4,0.16,1.0,0.0,0.37,0.42
kml.csv,0.65,0.27,0.21,0.64,0.75,0.1,0.32,0.14,0.91,0.03,0.41,0.41
ppcboot.csv,0.53,0.33,0.2,0.71,0.49,0.11,0.35,0.13,0.81,0.02,0.42,0.41
repositorium.csv,1.0,0.1,0.02,1.0,0.22,0.27,0.08,0.09,0.88,0.03,0.41,0.35
rsyslog.csv,0.79,0.29,0.31,0.52,0.64,0.13,0.38,0.21,0.88,0.03,0.5,0.41
simplewebservices.csv,0.52,0.28,0.19,0.52,0.43,0.09,0.3,0.13,0.8,0.03,0.48,0.56
ultimairis.csv,0.63,0.3,0.3,0.54,0.48,0.4,0.57,0.16,0.81,0.0,0.35,0.46
wow-qrsk.csv,1.0,0.38,0.45,0.78,1.0,0.0,0.33,0.33,0.89,0.04,1.0,0.61
wxstudio.csv,0.47,0.21,0.1,0.45,0.36,0.12,0.23,0.11,0.78,0.0,0.68,0.5
xbg.csv,0.56,0.17,0.27,0.59,0.38,0.5,0.49,0.3,0.67,0.0,0.25,0.32
xqilla.csv,1.0,0.06,0.13,0.4,0.27,0.07,0.16,0.09,0.71,0.3,0.59,0.48
