,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.65,0.57,0.54,0.44,0.36,0.55,0.55,0.88,0.4,0.33,0.35,0.71
gdis.csv,0.81,0.82,0.58,0.34,0.69,0.55,0.3,0.5,0.84,0.0,0.49,0.72
kml.csv,0.65,0.98,0.95,0.5,0.75,0.73,0.96,1.0,0.68,1.0,0.81,1.0
ppcboot.csv,1.0,1.0,1.0,0.59,1.0,0.91,0.96,1.0,0.96,1.0,0.97,1.0
repositorium.csv,0.04,0.02,0.01,0.02,0.06,1.0,0.04,0.5,0.12,1.0,0.46,0.67
rsyslog.csv,0.85,0.92,0.77,0.54,0.39,1.0,0.45,0.5,0.67,1.0,0.54,1.0
simplewebservices.csv,1.0,0.8,0.98,0.98,0.69,0.73,0.94,0.25,0.86,1.0,1.0,0.67
ultimairis.csv,0.92,1.0,0.82,0.92,1.0,0.36,0.66,0.88,0.98,0.0,0.41,0.7
wow-qrsk.csv,0.08,0.5,0.84,0.37,0.22,0.0,0.02,0.12,0.14,1.0,0.03,0.25
wxstudio.csv,0.62,0.28,0.38,0.6,0.36,0.73,0.57,0.25,0.63,0.0,0.68,0.07
xbg.csv,0.35,0.02,0.06,0.66,0.25,0.09,0.36,0.88,0.14,0.0,0.16,0.35
xqilla.csv,0.04,0.05,0.3,0.14,0.08,0.36,0.15,0.25,0.21,1.0,0.27,0.14
