,xharbour.csv,graphmak.csv,megasquirtavr.csv,pdfedit.csv,atomsite.csv,hazelcast.csv,betoffice.csv,bnetd.csv,twostep.csv,stajistics.csv
atomsite.csv,0.9,0.35,0.22,0.54,0.45,0.94,0.48,0.64,0.37,0.34
betoffice.csv,0.79,0.15,0.2,0.51,0.34,0.81,0.55,0.49,0.34,0.28
bnetd.csv,0.82,0.37,0.23,0.54,0.41,0.79,0.5,0.79,0.36,0.28
graphmak.csv,1.0,0.63,0.29,0.52,0.23,0.81,0.43,0.49,0.0,0.41
hazelcast.csv,0.89,0.38,0.46,0.53,0.36,1.0,0.52,0.64,0.42,0.42
megasquirtavr.csv,0.82,0.32,0.48,0.49,0.29,0.84,0.48,0.53,0.29,0.25
pdfedit.csv,0.91,0.31,0.27,0.71,0.33,0.82,0.45,0.67,0.48,0.31
stajistics.csv,0.86,0.45,0.0,0.51,0.33,0.98,0.56,0.55,0.55,0.51
twostep.csv,0.97,0.4,0.29,0.54,0.38,0.98,0.47,0.55,0.75,0.37
xharbour.csv,0.99,0.38,0.28,0.57,0.33,0.97,0.47,0.5,0.65,0.36
