,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.29,0.14,0.31,0.26,0.41,0.65,0.02,0.0,0.0,0.11,0.29,0.02,0.33,0.44
crux-framework.csv,0.39,0.45,0.25,0.21,0.05,0.41,0.47,0.13,0.55,0.11,0.29,0.23,1.0,0.07
etherboot.csv,0.06,0.27,0.0,0.03,0.55,0.19,0.2,0.46,0.98,1.0,0.06,0.0,0.67,1.0
freebios.csv,0.48,0.14,0.25,0.59,0.45,0.11,0.8,0.42,0.45,0.47,0.48,0.2,1.0,0.11
gebr.csv,1.0,0.95,0.81,0.92,0.73,1.0,0.82,0.63,0.94,0.84,0.96,0.9,1.0,1.0
gnukeda.csv,1.0,0.73,0.38,0.72,0.91,0.7,0.35,0.55,0.51,0.42,0.96,0.18,0.67,0.96
google-gears.csv,0.81,0.91,0.94,0.49,0.86,1.0,0.76,0.92,1.0,0.68,0.75,0.92,1.0,0.96
gstreamer.csv,0.87,0.77,0.38,0.59,0.82,0.92,0.51,0.52,0.77,0.74,0.71,0.71,1.0,1.0
jnode.csv,0.1,0.32,0.81,0.33,0.0,0.0,0.12,0.23,0.0,0.05,0.1,0.03,0.0,0.0
metacosm.csv,0.29,0.5,0.62,0.41,0.14,0.35,0.18,0.38,0.45,0.63,0.26,0.37,0.67,0.74
openmeetings.csv,0.55,0.95,0.69,0.18,0.73,0.68,0.12,0.42,0.7,0.21,0.34,0.39,0.33,0.59
pgui.csv,0.58,0.95,0.0,0.51,0.77,0.65,0.24,0.6,0.72,0.53,0.65,0.0,1.0,1.0
tradelink.csv,0.29,0.91,0.81,0.49,0.82,0.89,0.61,0.71,0.87,0.74,0.35,0.87,0.67,0.89
wxcrp.csv,0.52,0.32,0.56,0.49,0.86,0.57,0.59,0.45,0.85,0.74,0.61,0.77,0.33,0.74
