,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.11,0.68,0.06,0.47,0.0,0.98,0.19,0.46,0.14,0.53,0.23,0.83,0.4,0.33,0.27,0.38
fleet-simulator.csv,0.05,0.73,0.05,0.96,0.5,0.56,0.49,0.51,0.1,0.6,0.28,1.0,0.47,0.43,0.35,0.69
geogebra.csv,0.0,0.31,0.03,0.11,0.14,0.46,0.45,0.4,0.05,0.52,0.22,0.98,0.43,0.97,0.2,0.27
gtad.csv,1.0,0.0,0.29,0.07,0.11,0.31,0.21,0.31,0.31,0.56,0.3,0.04,0.26,0.44,0.08,0.13
hibernate.csv,0.0,0.27,0.0,0.41,0.14,0.31,0.31,0.28,0.15,0.52,0.31,0.4,0.97,0.34,0.39,0.27
ipfire-wall.csv,0.1,0.3,0.5,0.79,1.0,0.23,0.51,0.55,0.27,0.35,0.22,0.52,0.38,0.42,0.13,0.39
irplus.csv,0.12,0.39,0.22,0.74,0.44,0.29,0.42,0.98,0.1,0.2,0.22,0.54,0.3,0.29,0.19,0.57
mumble.csv,0.29,0.14,0.0,0.15,0.35,0.14,1.0,0.38,0.17,0.56,0.26,0.36,0.26,0.43,0.04,0.09
ondex.csv,0.0,0.0,0.0,0.09,0.09,0.55,0.18,0.29,0.11,0.16,0.92,0.43,0.27,0.39,0.28,0.13
powerfolder.csv,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.15,1.0,0.35,0.0,0.0,0.09,0.14,0.0,0.0
projectts.csv,0.07,1.0,0.04,0.73,0.35,0.78,0.53,0.44,0.08,0.35,0.25,0.54,0.41,0.34,0.22,0.68
quantlib.csv,0.1,0.1,0.04,0.22,0.22,0.53,0.36,0.38,0.0,0.15,0.25,0.98,0.37,0.23,0.96,0.13
smartgwt.csv,0.07,0.48,0.0,0.79,0.56,0.64,0.31,0.5,0.17,0.95,0.28,0.37,0.47,0.43,0.13,0.75
tweetsharp.csv,0.09,0.66,0.03,0.61,0.52,0.71,0.46,0.51,0.09,0.38,0.28,0.51,0.44,0.38,0.3,0.98
wxlua.csv,0.06,0.58,0.03,0.99,0.53,0.69,0.45,0.44,0.08,0.32,0.21,0.88,0.41,0.25,0.34,0.8
