,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,1.0,0.7,1.0,0.32,0.0,0.99,0.16,0.56,1.0,0.79,0.42,0.7,0.56,0.64,0.25,0.26
fleet-simulator.csv,1.0,1.0,1.0,1.0,0.72,0.43,1.0,0.8,1.0,0.86,0.97,1.0,0.73,0.92,0.96,0.69
geogebra.csv,0.0,0.19,1.0,0.06,0.11,0.34,0.48,0.68,0.6,0.4,0.3,0.98,0.84,0.94,0.17,0.17
gtad.csv,1.0,0.0,1.0,0.03,0.06,0.19,0.12,0.2,0.4,0.41,0.24,0.02,0.18,0.32,0.04,0.07
hibernate.csv,0.0,0.16,0.0,0.26,0.11,0.19,0.28,0.24,1.0,0.58,0.52,0.26,0.94,0.48,0.46,0.17
ipfire-wall.csv,0.5,0.19,1.0,0.67,1.0,0.14,0.52,0.52,1.0,0.82,0.3,0.35,0.32,0.53,0.12,0.26
irplus.csv,1.0,0.3,1.0,0.62,0.44,0.19,0.44,0.96,0.4,0.4,0.33,0.37,0.34,0.3,0.25,0.48
mumble.csv,0.5,0.08,0.0,0.08,0.22,0.08,1.0,0.32,0.2,0.56,0.33,0.22,0.2,0.42,0.04,0.05
ondex.csv,0.0,0.0,0.0,0.05,0.06,0.47,0.12,0.2,0.2,0.12,0.88,0.28,0.23,0.34,0.21,0.07
powerfolder.csv,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.08,1.0,0.21,0.0,0.0,0.05,0.08,0.0,0.0
projectts.csv,0.5,1.0,1.0,0.6,0.44,0.9,0.84,0.6,1.0,0.78,0.67,0.37,0.52,0.66,0.42,0.64
quantlib.csv,0.5,0.05,1.0,0.12,0.17,0.4,0.24,0.52,0.0,0.11,0.21,0.98,0.68,0.23,0.92,0.07
smartgwt.csv,1.0,0.43,0.0,0.69,0.83,0.58,0.56,0.6,1.0,0.92,0.48,0.26,0.7,0.62,0.25,0.71
tweetsharp.csv,1.0,0.81,1.0,0.48,1.0,0.78,0.84,0.76,1.0,0.79,0.79,0.39,0.86,0.83,0.67,0.95
wxlua.csv,1.0,0.59,1.0,0.99,0.94,0.74,0.8,0.64,1.0,0.79,0.55,0.8,0.78,0.5,0.83,0.88
