,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.86,0.65,0.82,0.35,0.0,0.98,0.19,0.55,0.83,0.75,0.44,0.74,0.55,0.55,0.29,0.3
fleet-simulator.csv,0.0,0.0,0.79,0.0,0.63,0.47,0.56,0.53,0.57,0.82,0.09,1.0,0.64,0.67,0.4,0.37
geogebra.csv,0.0,0.23,0.13,0.07,0.13,0.38,0.52,0.19,0.38,0.45,0.34,0.96,0.47,0.95,0.2,0.2
gtad.csv,1.0,0.0,0.98,0.04,0.07,0.23,0.15,0.24,0.45,0.46,0.28,0.02,0.21,0.37,0.05,0.09
hibernate.csv,0.0,0.19,0.0,0.3,0.13,0.22,0.32,0.28,0.84,0.61,0.54,0.3,0.95,0.5,0.5,0.2
ipfire-wall.csv,0.54,0.23,0.99,0.66,1.0,0.17,0.56,0.56,0.95,0.38,0.34,0.4,0.37,0.56,0.14,0.3
irplus.csv,0.89,0.34,0.98,0.55,0.48,0.22,0.48,0.97,0.44,0.35,0.37,0.42,0.37,0.34,0.29,0.48
mumble.csv,0.55,0.1,0.0,0.1,0.26,0.1,1.0,0.36,0.24,0.6,0.37,0.26,0.24,0.47,0.05,0.06
ondex.csv,0.0,0.0,0.0,0.06,0.07,0.46,0.15,0.24,0.24,0.15,0.9,0.33,0.27,0.39,0.25,0.09
powerfolder.csv,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.1,1.0,0.25,0.0,0.0,0.06,0.1,0.0,0.0
projectts.csv,0.52,1.0,0.62,0.58,0.44,0.32,0.73,0.53,0.33,0.48,0.5,0.42,0.53,0.57,0.41,0.5
quantlib.csv,0.54,0.06,0.52,0.15,0.2,0.44,0.28,0.45,0.0,0.13,0.25,0.96,0.47,0.27,0.93,0.09
smartgwt.csv,0.68,0.45,0.0,0.59,0.7,0.55,0.44,0.59,0.88,0.93,0.5,0.0,0.64,0.62,0.27,0.64
tweetsharp.csv,0.78,0.36,0.0,0.3,0.38,0.23,0.63,0.58,0.41,0.58,0.54,0.0,0.47,0.59,0.54,0.96
wxlua.csv,0.38,0.53,0.0,0.97,0.57,0.3,0.63,0.52,0.38,0.13,0.46,0.81,0.48,0.44,0.55,0.27
