,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.72,0.75,0.44,0.3,0.83,0.77,0.09,0.99,0.65,0.25,0.97,0.0,0.85,0.05,0.22,0.79
galaxium.csv,0.21,0.25,0.35,0.7,0.43,0.8,0.69,0.91,0.51,0.18,0.41,0.17,0.69,0.86,0.51,0.42
hydrate.csv,0.23,0.0,0.48,0.2,0.72,0.13,0.31,0.95,0.22,0.31,0.81,0.67,0.79,0.19,0.2,0.32
ivef-sdk.csv,0.67,0.08,0.48,0.7,0.57,0.0,0.74,0.0,0.79,0.54,0.03,1.0,0.47,0.52,0.8,0.0
jmri.csv,0.1,0.08,0.32,0.45,0.47,0.03,0.57,0.11,0.19,0.22,0.22,0.33,0.27,0.05,0.07,0.21
jython.csv,0.28,0.42,0.08,0.75,0.4,0.8,0.97,0.16,0.21,0.39,0.81,0.17,0.29,0.24,0.51,0.79
kdenlive.csv,0.33,0.25,0.43,0.95,0.34,0.87,0.57,0.98,0.27,0.69,0.58,0.5,0.56,0.43,0.22,0.58
ninject.csv,0.46,0.5,0.51,0.45,0.36,0.8,0.2,0.7,0.35,0.68,0.47,0.33,0.37,0.1,0.13,0.42
ondex.csv,0.15,0.08,0.38,0.3,0.25,0.1,0.31,0.84,0.07,0.09,0.27,0.17,0.29,0.14,0.24,0.37
opentibia.csv,0.26,0.25,0.28,0.4,0.58,0.03,0.77,1.0,0.07,0.38,0.59,0.0,0.25,0.95,0.2,0.79
runuomondains.csv,0.1,0.08,0.38,0.45,0.43,0.97,0.63,0.18,0.2,0.21,0.2,0.17,0.15,0.33,0.09,0.42
somap.csv,0.92,0.92,0.76,0.85,0.79,1.0,0.77,1.0,1.0,0.91,0.93,0.0,0.9,0.95,0.82,1.0
taverna.csv,0.05,0.08,0.26,0.25,0.3,0.77,0.43,0.86,0.19,0.54,0.14,0.0,0.37,0.71,0.09,0.05
tigermud.csv,0.69,0.75,0.8,0.65,0.3,0.03,0.26,0.88,0.08,0.53,0.27,0.5,0.58,0.52,0.36,0.84
unbvision.csv,0.28,0.17,0.57,0.5,0.53,0.6,0.63,0.05,0.24,0.23,0.46,0.67,0.8,0.14,0.55,0.21
x-ray-mule.csv,0.54,0.5,0.44,0.35,0.66,0.0,0.74,0.01,0.94,0.82,0.17,0.5,0.58,0.62,0.78,0.16
