,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.02,0.9,0.34,0.99,0.22,0.4,0.79,0.9,0.37,0.23,0.05,0.99,0.02,0.67,0.25,0.61,0.29
encog-cs.csv,0.01,0.89,0.24,0.85,0.24,0.29,0.76,0.92,0.54,0.19,0.03,1.0,0.06,0.7,0.28,0.49,0.41
extprosys.csv,0.01,0.87,0.39,0.91,0.26,0.27,0.73,0.91,0.49,0.18,0.05,0.99,0.02,0.68,0.32,0.51,0.37
ibatisdb.csv,0.0,0.89,0.33,0.87,0.3,0.27,1.0,0.91,0.45,0.24,0.07,1.0,0.08,0.69,0.62,0.75,0.73
intact.csv,0.02,0.86,0.31,0.91,0.32,0.45,0.79,0.94,0.43,0.2,0.04,1.0,0.05,0.71,0.31,0.63,0.4
japano.csv,0.0,0.89,0.3,0.88,0.3,0.3,0.77,0.96,0.36,0.18,0.02,1.0,0.05,0.66,0.23,0.48,0.42
lockss.csv,0.03,1.0,0.42,0.94,0.3,0.27,1.0,0.92,0.62,0.29,0.06,1.0,0.1,0.72,0.26,0.86,0.6
ofbiz.csv,0.0,0.91,0.28,0.89,0.22,0.26,0.8,0.93,0.44,0.19,0.04,1.0,0.1,0.82,0.21,0.64,0.38
officefloor.csv,0.02,1.0,0.29,0.93,0.37,0.39,1.0,0.9,0.44,0.18,0.06,0.99,0.0,0.82,0.32,1.0,0.32
opennms.csv,0.02,0.8,0.33,1.0,0.47,0.33,0.78,1.0,0.45,0.23,0.05,1.0,0.03,0.7,0.3,0.27,0.0
papertoolkit.csv,0.0,1.0,0.28,0.86,0.29,0.33,0.75,0.93,0.55,0.17,0.02,1.0,0.21,0.74,0.31,0.52,0.33
rohxel.csv,0.02,0.9,0.34,0.93,0.12,0.43,0.87,0.98,0.45,0.3,0.04,1.0,0.0,0.78,0.37,0.78,0.5
sevenupdate.csv,0.01,0.98,0.28,0.88,0.25,0.29,0.78,0.93,0.36,0.2,0.03,0.99,0.06,0.67,0.26,0.53,0.38
web-cat.csv,0.01,0.91,0.27,0.86,0.26,0.3,0.78,0.93,0.34,0.19,0.03,0.99,0.06,0.68,0.26,0.55,0.61
xcf.csv,0.0,0.91,0.34,0.9,0.3,0.38,0.8,0.92,0.45,0.21,0.03,1.0,0.1,0.76,0.33,0.72,0.42
