,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.29,0.35,0.25,0.26,0.28,0.03,0.37,0.29,0.3,0.09
aime.csv,0.75,0.9,0.56,0.0,0.32,0.06,0.06,0.14,0.24,0.18
badtrinitycore.csv,0.0,0.05,0.25,0.19,0.63,0.71,0.45,0.21,0.57,0.24
electric-core.csv,0.75,0.35,0.24,0.35,0.62,0.77,0.48,0.62,0.59,0.48
geochat.csv,0.67,0.95,0.79,0.37,0.03,0.03,0.08,0.01,0.09,0.22
mumble.csv,0.92,1.0,0.55,0.08,0.62,0.49,0.23,0.29,0.46,0.44
olsrd.csv,0.79,0.2,0.36,0.33,0.49,0.23,0.62,0.51,0.43,0.51
silvertree.csv,0.71,0.2,0.54,0.67,0.29,0.2,0.68,0.9,0.72,0.36
skia.csv,0.33,0.2,0.64,0.48,0.22,0.2,0.26,0.29,0.17,0.09
t-2.csv,0.42,0.6,0.34,0.43,0.78,0.77,0.38,0.17,0.59,0.59
