,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.3,0.41,0.55,0.53,0.46,0.5,0.49,0.8,0.59,0.92
aime.csv,0.39,0.44,0.56,0.0,0.47,0.75,0.9,0.99,0.74,0.93
badtrinitycore.csv,0.0,0.5,0.66,0.65,0.44,0.37,0.37,0.66,0.45,0.68
electric-core.csv,0.31,0.49,0.6,0.46,0.49,0.38,0.48,0.45,0.39,0.43
geochat.csv,0.47,0.45,0.47,0.9,0.75,0.5,0.89,0.88,0.83,0.67
mumble.csv,0.32,0.44,0.54,0.97,0.36,0.42,0.43,0.71,0.5,0.53
olsrd.csv,0.31,0.32,0.5,0.54,0.38,0.56,0.43,0.42,0.5,0.46
silvertree.csv,0.31,0.41,0.46,0.42,0.73,0.56,0.38,0.48,0.41,0.61
skia.csv,0.32,0.33,0.37,0.38,0.48,0.67,0.44,0.43,0.52,0.91
t-2.csv,0.42,0.49,0.63,0.51,0.55,0.4,0.46,0.76,0.55,0.52
