,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.88,0.75,0.58,0.57,0.64,0.04,0.6,0.2,0.35,0.1
aime.csv,0.69,1.0,0.31,0.0,0.71,0.08,0.24,0.12,0.35,0.3
badtrinitycore.csv,0.0,0.01,0.42,0.83,0.5,0.72,0.88,0.44,0.61,0.33
electric-core.csv,0.92,0.62,0.62,0.64,0.79,0.84,0.68,0.77,0.61,0.6
geochat.csv,0.62,0.97,0.43,0.04,0.14,0.04,0.16,0.02,0.09,0.47
mumble.csv,0.96,1.0,0.36,0.11,0.93,0.76,0.88,0.37,0.48,0.63
olsrd.csv,1.0,0.76,0.57,0.6,0.5,0.4,0.92,0.68,0.61,0.63
silvertree.csv,0.96,0.69,0.75,0.81,0.43,0.8,0.84,0.88,0.78,0.3
skia.csv,0.65,0.57,0.69,0.81,0.43,0.2,0.68,0.62,0.57,0.07
t-2.csv,0.54,0.57,0.34,0.51,0.79,0.84,0.56,0.64,0.48,0.63
