,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.55,0.56,0.65,0.85,0.32,0.69,0.85,0.89,0.71,0.96,0.62
freedom-erp.csv,0.5,0.0,0.68,0.0,0.5,0.0,0.5,0.4,0.75,0.5,0.0
haggle.csv,0.9,0.41,0.49,0.55,0.67,0.5,0.39,0.86,0.5,0.53,0.86
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
jmoney.csv,0.48,0.86,0.52,0.8,0.67,0.88,0.67,0.41,0.86,0.62,0.86
jsidplay2.csv,0.36,0.85,0.39,0.88,0.37,0.98,0.36,0.3,0.54,0.65,0.35
madman.csv,0.0,0.67,0.91,0.91,0.75,0.96,0.96,0.5,0.78,0.83,0.89
matrex.csv,0.45,0.9,0.43,0.91,0.43,0.97,0.45,0.36,0.91,0.86,0.0
mediate.csv,0.44,0.54,0.35,0.62,0.49,0.51,0.34,0.35,0.59,0.56,0.34
primefaces.csv,0.38,0.45,0.46,0.58,0.91,0.5,0.39,0.62,0.48,0.46,0.44
tmva.csv,0.41,0.46,0.47,0.47,0.35,0.52,0.37,0.31,0.41,0.56,0.33
