,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.24,0.02,0.1,0.39,1.0,0.22,0.08,0.07,0.22,0.36,0.37
freedom-erp.csv,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.07,0.08,0.03,0.0
haggle.csv,0.17,0.61,0.45,0.07,0.03,0.73,0.68,0.07,0.24,0.26,0.19
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmoney.csv,0.02,0.08,0.2,0.02,0.27,0.03,0.07,0.26,0.1,0.12,0.19
jsidplay2.csv,0.44,0.41,0.05,0.29,0.73,0.08,0.43,0.91,0.65,0.3,0.74
madman.csv,0.02,0.06,0.2,0.05,0.0,0.13,0.17,0.03,0.02,0.09,0.19
matrex.csv,0.41,0.12,0.3,0.15,0.47,0.1,0.01,0.59,0.2,0.11,0.0
mediate.csv,0.27,0.35,0.45,0.27,0.03,0.62,0.52,0.56,0.37,0.41,0.67
primefaces.csv,0.76,0.82,0.65,0.93,0.2,0.95,0.8,0.29,0.84,0.62,0.0
tmva.csv,0.56,0.63,0.5,0.56,0.83,0.02,0.56,0.97,0.59,0.62,0.78
