,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.61,0.51,0.61,0.38,0.66,0.6,0.6,0.53,0.45,0.42,0.53,0.63
codesmith.csv,0.36,0.38,0.71,0.34,0.74,0.56,0.6,0.55,0.5,0.4,0.55,0.88
icescrum.csv,0.57,0.45,0.44,0.3,0.57,0.39,0.57,0.57,0.24,0.21,0.78,0.26
ingex.csv,0.43,0.38,0.53,0.29,0.75,0.54,0.63,0.57,0.39,0.42,0.5,0.58
jrefactory.csv,0.34,0.4,0.75,0.25,0.37,0.23,0.38,0.51,0.18,0.31,0.26,0.72
jsecurity.csv,0.33,0.53,0.4,0.51,0.26,0.57,0.48,0.37,0.48,0.14,0.24,0.76
libopenmetaverse.csv,0.42,0.5,0.73,0.32,0.79,0.65,0.67,0.52,0.44,0.26,0.55,0.78
lite.csv,0.19,0.42,0.58,0.34,0.36,0.6,0.55,0.31,0.69,0.43,0.41,0.15
mobicents.csv,0.5,0.54,0.51,0.37,0.69,0.51,0.69,0.53,0.41,0.47,0.58,0.31
opendvr.csv,0.54,0.49,0.36,0.34,0.57,0.64,0.58,0.47,0.42,0.65,0.54,0.45
openefm.csv,0.36,0.63,0.42,0.32,0.3,0.63,0.61,0.32,0.12,0.45,0.58,0.61
sidekar.csv,0.0,0.45,0.0,0.0,0.77,0.0,0.0,0.0,0.43,0.46,0.0,0.0
