,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,1.0,0.58,0.28,0.27,0.23,0.25,0.42,0.13,0.53,0.69,0.1,0.2,0.6,0.03,0.0,0.08
customsagetv.csv,0.0,0.04,0.06,0.03,0.21,0.02,0.05,0.04,0.0,0.0,0.98,0.0,0.0,0.0,0.12,0.02
glas.csv,0.65,0.79,0.48,0.47,0.44,0.37,0.56,0.48,0.74,0.59,0.69,0.5,0.8,0.95,0.62,0.6
intact.csv,0.96,1.0,0.63,1.0,0.9,0.83,0.77,0.48,0.89,0.94,0.92,0.85,0.2,0.51,0.5,0.98
japano.csv,0.92,0.75,0.95,0.63,0.44,1.0,0.98,0.7,0.87,1.0,0.98,0.6,0.8,0.97,1.0,0.78
jas.csv,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.88,0.0
lazarus-ccr.csv,0.27,0.96,0.71,0.67,0.28,0.27,0.47,0.78,0.47,0.33,0.17,0.4,0.2,0.68,0.75,0.12
officefloor.csv,0.62,0.54,0.41,0.4,0.82,0.84,0.74,0.65,0.84,0.49,0.87,0.75,1.0,0.59,0.0,0.5
primefaces.csv,0.69,0.33,0.99,0.83,0.69,0.55,0.77,1.0,0.53,0.8,0.44,0.7,1.0,1.0,1.0,1.0
pustefix.csv,0.42,0.12,0.16,0.23,0.56,0.47,0.44,0.96,0.61,0.41,0.69,0.55,0.2,0.19,0.62,0.5
red5.csv,0.65,0.42,0.23,0.5,0.56,0.38,1.0,0.48,0.5,0.51,0.1,0.25,0.0,0.14,0.12,0.45
redshell.csv,1.0,0.83,1.0,0.7,0.36,0.37,0.81,0.57,0.92,0.55,0.08,0.25,0.2,0.97,0.75,0.6
rohxel.csv,0.77,0.58,0.56,0.67,1.0,0.63,0.51,0.61,0.47,0.65,0.81,0.5,0.4,0.84,0.5,0.78
roolo.csv,0.42,0.21,0.23,0.17,0.26,0.19,0.33,0.09,0.42,0.35,0.04,0.95,0.0,0.03,0.25,0.25
toped.csv,0.77,0.21,0.58,0.3,0.13,0.29,0.4,0.52,0.5,1.0,0.12,0.1,0.6,0.43,0.12,0.08
xreal.csv,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.0
