,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,1.0,0.52,0.44,0.35,0.36,0.39,0.51,0.19,0.15,0.78,0.16,0.29,0.12,0.05,0.0,0.14
customsagetv.csv,0.0,0.07,0.12,0.06,0.33,0.05,0.09,0.08,0.0,0.0,0.99,0.0,0.0,0.0,0.18,0.05
glas.csv,0.58,0.57,0.64,0.4,0.56,0.53,0.6,0.37,0.07,0.71,0.69,0.41,0.09,0.97,0.14,0.62
intact.csv,0.72,0.63,0.75,1.0,0.82,0.89,0.65,0.34,0.07,0.89,0.72,0.5,0.02,0.44,0.1,0.74
japano.csv,0.69,0.55,0.95,0.37,0.59,1.0,0.76,0.35,0.07,0.92,0.7,0.43,0.05,0.58,0.13,0.66
jas.csv,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.26,0.0,0.0,0.04,0.0,0.0,0.0,0.93,0.0
lazarus-ccr.csv,0.3,0.98,0.82,0.41,0.39,0.41,0.51,0.43,0.06,0.46,0.22,0.39,0.02,0.53,0.26,0.22
officefloor.csv,0.55,0.5,0.57,0.36,0.79,0.89,0.64,0.37,0.91,0.64,0.8,0.49,0.1,0.44,0.0,0.55
primefaces.csv,0.55,0.46,0.97,0.44,0.73,0.69,0.64,0.45,0.04,0.83,0.43,0.44,0.06,0.57,0.18,0.99
pustefix.csv,0.54,0.15,0.27,0.25,0.64,0.63,0.53,0.98,0.06,0.56,0.65,0.43,0.06,0.29,0.18,0.53
red5.csv,0.61,0.49,0.37,0.41,0.69,0.54,1.0,0.46,0.04,0.65,0.13,0.24,0.0,0.2,0.08,0.56
redshell.csv,0.68,0.62,1.0,0.39,0.5,0.53,0.69,0.33,0.07,0.67,0.11,0.29,0.02,0.56,0.15,0.63
rohxel.csv,0.69,0.47,0.71,0.41,1.0,0.76,0.6,0.38,0.08,0.74,0.69,0.43,0.05,0.6,0.15,0.67
roolo.csv,0.5,0.29,0.37,0.21,0.4,0.32,0.46,0.13,0.07,0.5,0.07,0.95,0.0,0.05,0.07,0.34
toped.csv,0.62,0.29,0.72,0.32,0.22,0.44,0.47,0.51,0.07,0.99,0.19,0.12,0.04,0.44,0.06,0.14
xreal.csv,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,0.0,0.0,0.0
