,adaptagrams.csv,lazarus-ccr.csv,redshell.csv,intact.csv,rohxel.csv,japano.csv,red5.csv,pustefix.csv,officefloor.csv,toped.csv,customsagetv.csv,roolo.csv,xreal.csv,glas.csv,jas.csv,primefaces.csv
adaptagrams.csv,0.0,0.71,0.87,0.74,0.79,0.78,0.68,0.87,0.5,0.54,0.91,0.81,0.47,0.97,1.01,0.93
customsagetv.csv,1.0,0.96,0.94,0.97,0.82,0.98,0.95,0.96,1.0,1.0,0.02,1.0,1.0,1.0,0.88,0.98
glas.csv,0.75,0.88,0.72,0.64,0.72,0.71,0.63,0.67,0.65,0.61,0.48,0.72,0.49,0.05,0.61,0.65
intact.csv,0.75,1.0,1.07,0.0,1.01,0.48,0.93,0.72,0.7,1.0,0.78,0.85,0.96,0.73,0.78,1.0
japano.csv,0.84,0.89,1.0,0.84,0.59,0.0,0.86,0.91,0.64,1.0,0.98,0.76,0.93,0.95,0.95,0.88
jas.csv,1.0,1.0,0.98,1.0,0.9,1.0,1.0,0.83,1.0,1.0,0.98,1.0,1.0,1.0,0.12,1.0
lazarus-ccr.csv,0.91,0.04,0.47,0.74,0.96,0.92,0.77,0.73,0.65,0.94,0.94,0.7,1.01,0.68,0.38,0.88
officefloor.csv,0.77,0.71,0.7,0.69,0.93,0.79,0.9,0.78,0.16,0.56,0.39,0.75,0.48,0.86,1.0,0.69
primefaces.csv,0.97,0.68,1.0,0.81,0.79,0.9,0.96,0.9,0.83,0.8,0.93,0.84,0.88,1.0,0.63,0.04
pustefix.csv,0.6,0.99,0.85,0.81,0.85,0.62,0.66,0.04,0.7,0.68,0.59,0.7,0.82,0.81,0.53,0.78
red5.csv,0.64,0.63,0.81,0.63,0.51,0.66,0.0,0.57,0.77,0.59,1.01,0.87,1.02,0.88,0.88,0.59
redshell.csv,1.0,0.77,0.12,0.82,0.7,0.71,0.85,0.8,0.65,0.72,1.01,0.8,0.94,1.0,0.6,0.6
rohxel.csv,0.55,0.86,0.76,0.74,0.0,0.58,0.56,0.71,0.61,0.66,0.64,0.68,0.75,0.67,0.62,0.85
roolo.csv,0.65,0.81,0.78,0.85,0.75,0.81,0.69,0.92,0.66,0.73,0.97,0.06,1.02,0.97,0.85,0.81
toped.csv,0.82,0.82,0.97,0.74,0.88,0.75,0.75,0.52,0.63,0.11,0.89,0.96,0.87,0.67,0.9,0.93
xreal.csv,1.0,1.0,0.97,1.0,0.95,1.0,1.0,1.0,1.0,1.0,0.88,1.0,0.0,1.0,1.0,1.0
