,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.62,1.0,0.89,0.0,0.33,0.75,0.3,0.27,0.67,0.53,0.54,1.0
freedom-erp.csv,0.67,0.0,0.94,0.0,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.36,0.33,0.76,0.33,0.3,0.75,0.63,0.05,0.42,0.53,0.4,0.99
jmoney.csv,1.0,0.75,0.85,0.33,0.24,0.88,0.75,0.09,0.67,0.27,0.0,1.0
jsidplay2.csv,0.5,0.14,0.97,0.35,0.28,0.96,0.61,0.11,0.19,0.22,0.78,0.54
reaper3d.csv,0.0,0.0,0.54,0.29,0.45,0.0,0.0,1.0,0.11,0.71,0.0,0.68
servicestack.csv,0.29,0.33,0.85,0.29,0.5,0.79,0.35,0.06,1.0,0.37,0.47,0.7
springside.csv,0.41,0.41,0.86,1.0,0.35,0.75,0.64,0.08,0.28,0.45,0.46,0.71
swtfox.csv,0.14,0.31,0.58,0.31,1.0,0.8,0.19,0.03,0.19,0.29,0.45,0.78
synecdoche.csv,0.44,0.3,0.85,0.62,0.41,0.85,0.66,0.08,0.36,0.33,1.0,0.68
tmva.csv,0.44,0.35,0.85,0.43,0.35,0.99,0.62,0.11,0.32,0.51,0.52,0.58
wsmt.csv,0.08,0.43,0.5,0.32,0.55,0.68,0.33,0.14,0.22,0.94,0.57,0.7
